"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","LUCA",524,1317.49473064767,0.39772455085449,0.4,"+",63,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","OVCA",670,593.628737665033,1.12865155860777,1.13,"++",58,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","PACA",183,510.54003347328,0.358443976968904,0.36,"+",25,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","PRCA",72,344.762330221183,0.20883952128357,0.21,"+",28,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","SKCA",1442,231.179455378979,6.23757849777823,6.24,"+++",16,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","STCA",551,399.422006941434,1.37949334394284,1.38,"++",50,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","THCA",376,372.691726278423,1.00887670288421,1.01,"++",29,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LAMP3+ cDC","UECA",216,40.3702182723611,5.35047887387523,5.35,"+++",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","BRCA",986,567.278824828442,1.73812234274422,1.74,"++",45,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","COCA",271,229.205911292644,1.18234297916511,1.18,"++",29,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","HNCA",1337,344.621653858444,3.87961692200915,3.88,"+++",44,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","KICA",256,429.197938450927,0.596461392438095,0.6,"+",15,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","LICA",389,456.995251097057,0.851212346443802,0.85,"+",37,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","LUCA",1167,1837.08421788637,0.635245781678247,0.64,"+",65,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","OVCA",788,827.742198795848,0.951987226392876,0.95,"+",55,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","PACA",396,711.885229045189,0.556269443223499,0.56,"+",28,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","PRCA",336,480.728629145799,0.698939026363033,0.7,"+",25,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","SKCA",386,322.351292264762,1.19745138072212,1.2,"++",15,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","STCA",256,556.944819709371,0.459650563108905,0.46,"+",37,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","THCA",757,519.672733830476,1.4566860077884,1.46,"++",30,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","LILRA4+ pDC","UECA",15,56.2912997946677,0.266471018695875,0.27,"+",4,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","BRCA",6887,5836.24801865392,1.18003895276343,1.18,"++",78,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","COCA",1932,2358.10414049919,0.819302238106844,0.82,"+",56,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","HNCA",2836,3545.51828216899,0.799883056382115,0.8,"+",49,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","KICA",4688,4415.6515425234,1.06167797772398,1.06,"++",24,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","LICA",5370,4701.63438509458,1.14215601643214,1.14,"++",52,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","LUCA",22014,18900.1927402847,1.16475002675917,1.16,"++",78,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","OVCA",8673,8515.93353434175,1.01844383414042,1.02,"++",69,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","PACA",6949,7323.9799824724,0.94880106398846,0.95,"+",36,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","PRCA",3243,4945.80687056471,0.655706962457617,0.66,"+",50,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","SKCA",1621,3316.39752525524,0.488783382467167,0.49,"+",17,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","STCA",4783,5729.93025345411,0.834739654486496,0.83,"+",73,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","THCA",6049,5346.46954975591,1.13140081388403,1.13,"++",42,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Macro","UECA",470,579.133174931108,0.811557721686226,0.81,"+",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","BRCA",380,1439.60526840318,0.263961245725015,0.26,"+",14,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","COCA",471,581.66464709102,0.809744931818586,0.81,"+",20,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","HNCA",237,874.559611229051,0.270993534296576,0.27,"+",9,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","KICA",134,1089.19209802799,0.123026966723878,0.12,"±",7,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","LICA",76,1159.73440629222,0.065532245648363,0.07,"±",4,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","LUCA",4937,4662.03919980511,1.0589786547068,1.06,"++",47,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","OVCA",943,2100.59317942374,0.448920814004878,0.45,"+",17,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","PACA",1870,1806.57849610691,1.03510586671421,1.04,"++",17,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","PRCA",5896,1219.96351159384,4.83293143111885,4.83,"+++",38,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","SKCA",0,818.043258993967,0,0,"−",0,0,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","STCA",3423,1413.38026658399,2.42185353859021,2.42,"++",48,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","THCA",4,1318.79346226979,0.00303307539386459,0,"±",1,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","Mast","UECA",256,142.852594179193,1.79205706043305,1.79,"++",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","BRCA",1083,1161.37587202956,0.93251463723575,0.93,"+",57,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","COCA",515,469.247578882094,1.09750166687467,1.1,"++",43,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","HNCA",545,705.535366829815,0.772463048094741,0.77,"+",36,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","KICA",556,878.686297152873,0.632762798056094,0.63,"+",19,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","LICA",677,935.595046081127,0.723603660403837,0.72,"+",35,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","LUCA",4948,3761.01696759926,1.31560161589976,1.32,"++",67,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","OVCA",2466,1694.61607919689,1.4551968615621,1.46,"++",65,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","PACA",2171,1457.42497777412,1.48961355343017,1.49,"++",33,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","PRCA",73,984.18380247601,0.0741731369855372,0.07,"±",17,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","SKCA",167,659.941807746945,0.253052614699683,0.25,"+",13,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","STCA",990,1140.21931958756,0.86825401305961,0.87,"+",55,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","THCA",571,1063.91310235294,0.536697967848298,0.54,"+",25,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ CXCL3+ Macro","UECA",265,115.2437822908,2.29947329680063,2.3,"++",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","BRCA",324,229.075536347616,1.41438062381458,1.41,"++",37,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","COCA",151,92.5567194920161,1.63143206488671,1.63,"++",31,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","HNCA",124,139.163294555372,0.891039554619495,0.89,"+",27,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","KICA",116,173.316442720511,0.669295989342806,0.67,"+",11,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","LICA",253,184.541406573798,1.37096603248673,1.37,"++",38,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","LUCA",750,741.841637849484,1.01099744437932,1.01,"++",60,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","OVCA",609,334.25447918677,1.82196511317268,1.82,"++",51,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","PACA",213,287.469730093997,0.740947577090475,0.74,"+",23,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","PRCA",66,194.125293840347,0.339986607073882,0.34,"+",20,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","SKCA",11,130.170194860048,0.084504751735423,0.08,"±",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","STCA",164,224.902513027054,0.729204835431395,0.73,"+",35,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","THCA",168,209.851496331544,0.800566128604475,0.8,"+",25,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ MT1+ Macro","UECA",15,22.7312551214435,0.659884371534319,0.66,"+",4,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","BRCA",1352,1531.18911137617,0.882973886083136,0.88,"+",59,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","COCA",420,618.668598709792,0.678877190269383,0.68,"+",37,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","HNCA",741,930.1967583438,0.796605657193794,0.8,"+",35,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","KICA",962,1158.48359081605,0.830395879256571,0.83,"+",18,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","LICA",805,1233.5136123617,0.652607309666195,0.65,"+",40,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","LUCA",9901,4958.62568457287,1.99672260618576,2,"++",72,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","OVCA",1533,2234.22730824841,0.686143256033264,0.69,"+",61,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","PACA",2115,1921.50819589145,1.10069788123843,1.1,"++",34,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","PRCA",87,1297.57433251179,0.0670481819963168,0.07,"±",16,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","SKCA",140,870.084986696111,0.160903822202022,0.16,"±",11,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","STCA",775,1503.29574497031,0.51553395437523,0.52,"+",45,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","THCA",810,1402.69158074242,0.577461226060314,0.58,"+",29,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ Macro","UECA",171,151.940494759122,1.12544058956168,1.13,"++",6,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","BRCA",1548,895.898656323065,1.72787400569756,1.73,"++",59,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","COCA",228,361.982959632743,0.629863903624971,0.63,"+",49,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","HNCA",530,544.258066965543,0.973802745735976,0.97,"+",35,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","KICA",815,677.828678817868,1.20236871862866,1.2,"++",18,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","LICA",723,721.728739879711,1.00176140986224,1,"++",43,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","LUCA",2239,2901.29158770284,0.771725258326336,0.77,"+",70,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","OVCA",1982,1307.24626273045,1.51616421213567,1.52,"++",57,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","PACA",998,1124.27432903159,0.887683703371264,0.89,"+",33,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","PRCA",159,759.210663359414,0.209428038453049,0.21,"+",37,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","SKCA",918,509.086673015411,1.80322929013742,1.8,"++",16,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","STCA",407,879.578249328478,0.462721765017186,0.46,"+",62,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","THCA",975,820.714758932272,1.18798887114988,1.19,"++",30,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","SPP1+ cycMacro","UECA",70,88.900374280625,0.787398259753512,0.79,"+",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","BRCA",1826,956.413550034327,1.90921594527227,1.91,"++",62,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","COCA",364,386.433671968185,0.941946901640519,0.94,"+",38,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","HNCA",1431,581.020840122377,2.46290649350649,2.46,"++",44,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","KICA",599,723.613690508205,0.827789755579822,0.83,"+",23,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","LICA",610,770.479050725624,0.791715231485545,0.79,"+",37,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","LUCA",2639,3097.26392320761,0.852042339765149,0.85,"+",71,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","OVCA",1462,1395.54628202978,1.04761842643697,1.05,"++",59,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","PACA",1040,1200.21521926897,0.866511258400347,0.87,"+",32,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","PRCA",120,810.492750092542,0.148058079466224,0.15,"±",34,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","SKCA",624,543.473738661638,1.14816955376108,1.15,"++",15,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","STCA",733,938.9907553002,0.780625363841475,0.78,"+",61,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","THCA",823,876.151237214188,0.939335545101565,0.94,"+",32,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","TNFSF10+ Macro","UECA",104,94.9052908663505,1.09582931626496,1.1,"++",5,1,89608.6451730528,180,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","BRCA",1360,1657.9642220638,0.820283080841815,0.82,"+",66,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","COCA",333,242.936553199073,1.37072826470508,1.37,"++",44,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","HNCA",465,1016.15211192301,0.457608653806776,0.46,"+",21,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","KICA",498,553.086704687222,0.900401321853553,0.9,"+",19,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","LICA",931,506.002628764926,1.83991138993176,1.84,"++",39,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","LUCA",484,319.307788273035,1.51577887472679,1.52,"++",37,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","OVCA",620,552.48195508822,1.12220859756587,1.12,"++",33,6,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","PACA",1001,428.42189449296,2.33648189522314,2.34,"++",26,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","PRCA",975,1032.3939582962,0.944406921568077,0.94,"+",48,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","SKCA",13,32.3109071466762,0.40234091667517,0.4,"+",7,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","STCA",584,726.304268401355,0.804070725462517,0.8,"+",51,4,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","THCA",294,377.363749777223,0.779089141905026,0.78,"+",21,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Arterial EC","UECA",198,311.273257886295,0.636097046513156,0.64,"+",6,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","BRCA",1403,472.849001960435,2.96712056953309,2.97,"++",28,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","COCA",3,69.2851541614685,0.0432993191154417,0.04,"±",3,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","HNCA",17,289.805114952771,0.0586601102702084,0.06,"±",8,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","KICA",41,157.739529495634,0.259922164920207,0.26,"+",4,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","LICA",18,144.31121903404,0.12473042720091,0.12,"±",8,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","LUCA",31,91.0661201211905,0.340411999091927,0.34,"+",3,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","OVCA",80,157.567055783283,0.507720345489172,0.51,"+",3,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","PACA",4,122.185305649617,0.0327371608126967,0.03,"±",3,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","PRCA",44,294.437266084477,0.149437605453706,0.15,"±",7,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","SKCA",0,9.21502405988237,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","STCA",28,207.140928533238,0.135173672331526,0.14,"±",8,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","THCA",1,107.623596506862,0.00929164265511463,0.01,"±",1,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CCL2+ iEC","UECA",542,88.7746836571021,6.10534420030726,6.11,"+++",6,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","BRCA",0,296.278805025842,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","COCA",0,43.4128497594012,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","HNCA",0,181.586749242559,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","KICA",1,98.836793797897,0.0101176895928536,0.01,"±",1,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","LICA",1308,90.4228524327214,14.4653698131588,14.47,"+++",25,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","LUCA",0,57.0604170379611,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","OVCA",0,98.7287248262342,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","PACA",70,76.5591472108359,0.914325754011174,0.91,"+",7,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","PRCA",0,184.489173052932,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","SKCA",0,5.77397077169845,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","STCA",7,129.790834967029,0.0539329298696493,0.05,"±",1,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","THCA",0,67.4350383175905,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","CD14+ EC","UECA",0,55.6246435572982,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","BRCA",1573,3542.51973801461,0.444034223188712,0.44,"+",64,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","COCA",1010,519.074852967385,1.94576946701647,1.95,"++",51,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","HNCA",3461,2171.1800926751,1.59406398929152,1.59,"++",23,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","KICA",949,1181.7628764926,0.803037579600208,0.8,"+",17,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","LICA",1096,1081.15981999644,1.01372616677857,1.01,"++",44,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","LUCA",205,682.254856531812,0.300474226071619,0.3,"+",35,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","OVCA",862,1180.47072714311,0.730217175385745,0.73,"+",33,6,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","PACA",1559,915.395517733024,1.7030889596891,1.7,"++",27,4,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","PRCA",689,2205.88353234717,0.312346499666221,0.31,"+",40,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","SKCA",30,69.0376938157191,0.434545222209745,0.43,"+",7,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","STCA",3556,1551.87136873997,2.29142702908892,2.29,"++",54,4,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","THCA",1287,806.301194083051,1.59617771800972,1.6,"++",23,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Capillary EC","UECA",295,665.087729459989,0.443550507599234,0.44,"+",6,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","BRCA",433,719.961771520228,0.601420821394035,0.6,"+",30,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","COCA",167,105.493851363393,1.58303064910141,1.58,"++",26,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","HNCA",182,441.258420958831,0.41245671777668,0.41,"+",7,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","KICA",611,240.17483514525,2.54398009529385,2.54,"++",19,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","LICA",395,219.728836214579,1.79767028672677,1.8,"++",32,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","LUCA",40,138.657636784887,0.288480324109778,0.29,"+",14,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","OVCA",185,239.912225984673,0.771115349543791,0.77,"+",25,6,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","PACA",162,186.03983247193,0.870781261450785,0.87,"+",16,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","PRCA",299,448.311352700053,0.666947196851489,0.67,"+",20,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","SKCA",0,14.0308322937088,0,0,"−",0,0,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","STCA",841,315.393601853502,2.66650938718357,2.67,"++",40,4,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","THCA",19,163.868116200321,0.115946899497968,0.12,"±",5,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","Fibrosis PGF+ Tip EC","UECA",34,135.168686508644,0.251537548216286,0.25,"+",2,1,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","BRCA",43,166.950755212975,0.257560979254907,0.26,"+",20,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","COCA",55,24.4627962929959,2.2483120629896,2.25,"++",21,3,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","HNCA",188,102.322692033506,1.83732460770715,1.84,"++",17,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","KICA",51,55.6937488861166,0.915722159488412,0.92,"+",7,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","LICA",69,50.9525597041526,1.35420085665248,1.35,"++",24,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","LUCA",12,32.1530921404384,0.373214493573008,0.37,"+",6,2,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","OVCA",143,55.6328528782748,2.5704236364237,2.57,"++",16,6,176281.466303583,156,0
"Supplementary Fig. 6e","Endothelial","HMGB2+ cycEC","PACA",24,43.1404718410266,0.556322148919475,0.56,"+",15,2,176281.466303583,156,0
