"Figure","Major_cell_type","Cell_subtype","Cancer_type","Observed_cell_count","Expected_cell_count","Ro_e","Ro_e_display","Ro_e_symbol","N_samples","N_datasets","Chi_square_statistic","Chi_square_df","Chi_square_p_value"
"Supplementary Fig. 6e","B cell","Cycling Bgc","KICA",1,19.4756956780777,0.0513460477371097,0.05,"±",1,1,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","LICA",33,77.8312334996802,0.42399430814797,0.42,"+",6,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","LUCA",338,413.66892774568,0.817078531476744,0.82,"+",22,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","OVCA",32,167.153270547852,0.191441064210821,0.19,"±",8,4,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","PACA",191,70.8337205043973,2.69645584955745,2.7,"++",7,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","PRCA",31,123.465321315544,0.251082649522067,0.25,"+",6,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","SKCA",0,3.14816535575099,0,0,"−",0,0,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","STCA",286,583.169012467819,0.490423863212009,0.49,"+",25,4,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","THCA",336,317.277828489595,1.05900876086908,1.06,"++",26,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Cycling Bgc","UECA",0,5.4949795300381,0,0,"−",0,0,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","BRCA",418,886.398817169625,0.471571026385982,0.47,"+",33,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","COCA",321,965.567556340222,0.332446961263572,0.33,"+",44,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","HNCA",126,1550.83410312051,0.0812466012621655,0.08,"±",14,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","KICA",17,79.2269514788113,0.214573446064582,0.21,"+",6,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","LICA",382,316.616744374177,1.20650599435308,1.21,"++",24,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","LUCA",481,1682.80140584091,0.285832896460911,0.29,"+",63,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","OVCA",219,679.977972243934,0.322069256563265,0.32,"+",27,6,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","PACA",55,288.15092565769,0.190872196139802,0.19,"±",15,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","PRCA",5213,502.255795267585,10.379173419438,10.38,"+++",30,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","SKCA",0,12.8067078070084,0,0,"−",0,0,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","STCA",1367,2372.32619663189,0.576227671363576,0.58,"+",46,4,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","THCA",2050,1290.6832977136,1.58830597996543,1.59,"++",20,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","NR4A2+ Bn","UECA",1,22.3535263540511,0.044735670970266,0.04,"±",1,1,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","BRCA",8208,5117.6422976644,1.60386356110625,1.6,"++",47,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","COCA",10037,5574.72468584484,1.80044765717052,1.8,"++",57,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","HNCA",2547,8953.77345846702,0.284461072397522,0.28,"+",44,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","KICA",462,457.418478171751,1.01001604011836,1.01,"++",14,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","LICA",2967,1827.99346273046,1.62309114364568,1.62,"++",40,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","LUCA",4479,9715.68946876486,0.461006912005537,0.46,"+",69,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","OVCA",5285,3925.86718848216,1.3461993863433,1.35,"++",57,7,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","PACA",1410,1663.64545698028,0.847536351019958,0.85,"+",28,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","PRCA",672,2899.78444501533,0.231741363105507,0.23,"+",30,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","SKCA",95,73.9397980880126,1.28482904276962,1.28,"++",5,1,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","STCA",24415,13696.6754158217,1.78254936024818,1.78,"++",68,4,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","THCA",639,7451.78728730644,0.0857512399862096,0.09,"±",28,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasma","UECA",272,129.058556662713,2.10757044735016,2.11,"++",5,1,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","BRCA",384,117.936819148296,3.25598064093241,3.26,"+++",20,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","COCA",86,128.470349984422,0.669415160855622,0.67,"+",25,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","HNCA",117,206.341025739132,0.567022479319832,0.57,"+",18,3,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","KICA",8,10.5412760793874,0.758921400004252,0.76,"+",3,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","LICA",279,42.1263781012402,6.62292873433109,6.62,"+++",15,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","LUCA",141,223.899492213762,0.629746850275944,0.63,"+",22,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","OVCA",100,90.4721865417516,1.10531207238869,1.11,"++",24,7,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","PACA",76,38.3389541461922,1.98231802855656,1.98,"++",12,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","PRCA",0,66.8259588633022,0,0,"−",0,0,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","SKCA",3,1.70395351760854,1.76061140694168,1.76,"++",2,1,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","STCA",212,315.641898650458,0.671647208138134,0.67,"+",32,4,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","THCA",11,171.727533601893,0.0640549582776906,0.06,"±",9,2,104406.840350313,84,0
"Supplementary Fig. 6e","B cell","Plasmablast","UECA",0,2.97417341255309,0,0,"−",0,0,104406.840350313,84,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","BRCA",2720,3969.56062681722,0.685214374010175,0.69,"+",72,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","COCA",2518,1603.87929370747,1.56994357984352,1.57,"++",59,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","HNCA",2543,2411.50645578711,1.05452755222667,1.05,"++",46,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","KICA",2748,3003.33304015212,0.914983441150708,0.91,"+",25,3,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","LICA",2465,3197.84606087834,0.770831351188602,0.77,"+",45,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","LUCA",10469,12855.0844140436,0.814385939664706,0.81,"+",76,2,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","OVCA",6890,5792.1655060698,1.18953783222868,1.19,"++",71,7,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","PACA",7096,4981.45083572466,1.42448459976977,1.42,"++",36,4,89608.6451730528,180,0
"Supplementary Fig. 6e","Myeloid","CD14+ Mono","PRCA",3078,3363.921505475,0.915003514496505,0.92,"+",49,2,89608.6451730528,180,0
