"Feat_pair","cancer_type","Region","median_J_comp","mean_J_comp","n"
"B cell-Mural","BRCA","Malignant",0.33,0.32762787,75
"B cell-Mural","BRCA","Normal",0.2203154,0.24223358,75
"B cell-Mural","COCA","Boundary",0.38245614,0.39548277,27
"B cell-Mural","COCA","Malignant",0.51960784,0.5143257,27
"B cell-Mural","COCA","Normal",0.24540902,0.25142432,27
"B cell-Mural","HNCA","Boundary",0.24867751,0.30815351,26
"B cell-Mural","HNCA","Malignant",0.07201087,0.21730862,26
"B cell-Mural","HNCA","Normal",0.18378747,0.18291045,26
"B cell-Mural","KICA","Boundary",0.30131004,0.33391728,23
"B cell-Mural","KICA","Malignant",0.19887561,0.21026637,23
"B cell-Mural","KICA","Normal",0.0834868,0.1033264,23
"B cell-Mural","LICA","Boundary",0.96969001,0.89277738,12
"B cell-Mural","LICA","Malignant",0.69703801,0.68936491,12
"B cell-Mural","LICA","Normal",0.7288363,0.66659926,12
"B cell-Mural","LUCA","Boundary",0.34923093,0.33892134,22
"B cell-Mural","LUCA","Malignant",0.34672625,0.33096069,22
"B cell-Mural","LUCA","Normal",0.14194862,0.15143525,22
"B cell-Mural","OVCA","Boundary",0.20842449,0.20869885,24
"B cell-Mural","OVCA","Malignant",0.1820407,0.27687611,24
"B cell-Mural","OVCA","Normal",0.08540419,0.12593422,24
"B cell-Mural","PDAC","Boundary",0.36005931,0.30014145,14
"B cell-Mural","PDAC","Malignant",0.11474409,0.21550038,14
"B cell-Mural","PDAC","Normal",0.19237825,0.16833047,14
"B cell-Mural","PRCA","Boundary",0.3964198,0.41670054,8
"B cell-Mural","PRCA","Malignant",0.24765937,0.24273627,8
"B cell-Mural","PRCA","Normal",0.08757379,0.08442189,8
"B cell-Mural","SKCA","Boundary",0.38343379,0.4026187,16
"B cell-Mural","SKCA","Malignant",0.15151515,0.35225033,16
"B cell-Mural","SKCA","Normal",0.31483661,0.29828284,16
"B cell-Mural","STCA","Boundary",0.33840304,0.37365332,11
"B cell-Mural","STCA","Malignant",0.27913279,0.26406339,11
"B cell-Mural","STCA","Normal",0.10268378,0.16499667,11
"B cell-Mural","THCA","Boundary",0.71724138,0.75114968,5
"B cell-Mural","THCA","Malignant",0.72180451,0.64301139,5
"B cell-Mural","THCA","Normal",0.52096436,0.55195431,5
"B cell-Mural","UCEC","Boundary",0.60377358,0.68980234,5
"B cell-Mural","UCEC","Malignant",0.27745665,0.21448902,5
"B cell-Mural","UCEC","Normal",0.34444444,0.25530533,5
"B cell-Myeloid","BRCA","Boundary",0.57366771,0.5043997,75
"B cell-Myeloid","BRCA","Malignant",0.47237077,0.44860037,75
"B cell-Myeloid","BRCA","Normal",0.28887443,0.30787028,75
"B cell-Myeloid","COCA","Boundary",0.40251572,0.37519826,27
"B cell-Myeloid","COCA","Malignant",0.35428571,0.37355772,27
"B cell-Myeloid","COCA","Normal",0.30349531,0.28415541,27
"B cell-Myeloid","HNCA","Boundary",0.50929487,0.50683651,26
"B cell-Myeloid","HNCA","Malignant",0,0.26640132,26
"B cell-Myeloid","HNCA","Normal",0.24609234,0.24714041,26
"B cell-Myeloid","KICA","Boundary",0.56682028,0.51227999,23
"B cell-Myeloid","KICA","Malignant",0.2962963,0.33595391,23
"B cell-Myeloid","KICA","Normal",0.23053279,0.21245583,23
"B cell-Myeloid","LICA","Boundary",0.92953502,0.84118833,12
"B cell-Myeloid","LICA","Malignant",0.91421702,0.8442561,12
"B cell-Myeloid","LICA","Normal",0.82902016,0.79020944,12
"B cell-Myeloid","LUCA","Boundary",0.54745137,0.5247639,22
"B cell-Myeloid","LUCA","Malignant",0.58967468,0.54138597,22
"B cell-Myeloid","LUCA","Normal",0.42651299,0.46068482,22
"B cell-Myeloid","OVCA","Boundary",0.73873563,0.7094967,24
"B cell-Myeloid","OVCA","Malignant",0.82831023,0.73740223,24
"B cell-Myeloid","OVCA","Normal",0.48359761,0.5188098,24
"B cell-Myeloid","PDAC","Boundary",0.27310065,0.25435767,14
"B cell-Myeloid","PDAC","Malignant",0.34929825,0.42307906,14
"B cell-Myeloid","PDAC","Normal",0.12037496,0.13288475,14
"B cell-Myeloid","PRCA","Boundary",0.38258303,0.48809647,8
"B cell-Myeloid","PRCA","Malignant",0.38216418,0.42801289,8
"B cell-Myeloid","PRCA","Normal",0.4843158,0.44948327,8
"B cell-Myeloid","SKCA","Boundary",0.4062301,0.45607262,16
"B cell-Myeloid","SKCA","Malignant",0.22751124,0.40763861,16
"B cell-Myeloid","SKCA","Normal",0.25161908,0.27024507,16
"B cell-Myeloid","STCA","Boundary",0.49537037,0.47161598,11
"B cell-Myeloid","STCA","Malignant",0.34497817,0.4246439,11
"B cell-Myeloid","STCA","Normal",0.21388368,0.26802509,11
"B cell-Myeloid","THCA","Boundary",0.52604167,0.48803251,5
"B cell-Myeloid","THCA","Malignant",0.31958763,0.35251325,5
"B cell-Myeloid","THCA","Normal",0.30062305,0.30451219,5
"B cell-Myeloid","UCEC","Boundary",0.45882353,0.46950363,5
"B cell-Myeloid","UCEC","Malignant",0.18095238,0.16024023,5
"B cell-Myeloid","UCEC","Normal",0.24068768,0.25018452,5
"Endothelial-Fibroblast","BRCA","Boundary",0.31132075,0.35129858,75
"Endothelial-Fibroblast","BRCA","Malignant",0.44202899,0.4189657,75
"Endothelial-Fibroblast","BRCA","Normal",0.30429733,0.32661883,75
"Endothelial-Fibroblast","COCA","Boundary",0.51111111,0.49634845,27
"Endothelial-Fibroblast","COCA","Malignant",0.34121622,0.39059132,27
"Endothelial-Fibroblast","COCA","Normal",0.27722772,0.29605201,27
"Endothelial-Fibroblast","HNCA","Boundary",0.65403789,0.56064951,26
"Endothelial-Fibroblast","HNCA","Malignant",0.44986996,0.46160476,26
"Endothelial-Fibroblast","HNCA","Normal",0.41204446,0.41529021,26
"Endothelial-Fibroblast","KICA","Boundary",0.42723005,0.40335613,23
"Endothelial-Fibroblast","KICA","Malignant",0.30662558,0.33874746,23
"Endothelial-Fibroblast","KICA","Normal",0.23238566,0.22642291,23
"Endothelial-Fibroblast","LICA","Boundary",0.98854962,0.92515633,12
"Endothelial-Fibroblast","LICA","Malignant",0.61435361,0.64626106,12
"Endothelial-Fibroblast","LICA","Normal",0.67664222,0.68057167,12
"Endothelial-Fibroblast","LUCA","Boundary",0.42294034,0.38684542,22
"Endothelial-Fibroblast","LUCA","Malignant",0.39241351,0.43583768,22
"Endothelial-Fibroblast","LUCA","Normal",0.22123303,0.23679452,22
"Endothelial-Fibroblast","OVCA","Boundary",0.65542413,0.61652418,24
"Endothelial-Fibroblast","OVCA","Malignant",0.47584586,0.48986736,24
"Endothelial-Fibroblast","OVCA","Normal",0.42326647,0.43584075,24
"Endothelial-Fibroblast","PDAC","Boundary",0.3738016,0.39049368,14
"Endothelial-Fibroblast","PDAC","Malignant",0.19222862,0.34420168,14
"Endothelial-Fibroblast","PDAC","Normal",0.206688,0.21992513,14
"Endothelial-Fibroblast","PRCA","Boundary",0.48521731,0.55855903,8
"Endothelial-Fibroblast","PRCA","Malignant",0.45492212,0.44635955,8
"Endothelial-Fibroblast","PRCA","Normal",0.24339757,0.26259855,8
"Endothelial-Fibroblast","SKCA","Boundary",0.50124733,0.43885457,16
"Endothelial-Fibroblast","SKCA","Malignant",0.55022545,0.43694323,16
"Endothelial-Fibroblast","SKCA","Normal",0.33759273,0.30842675,16
"Endothelial-Fibroblast","STCA","Boundary",0.45454545,0.43565259,11
"Endothelial-Fibroblast","STCA","Malignant",0.38537794,0.35509974,11
"Endothelial-Fibroblast","STCA","Normal",0.28135593,0.27951644,11
"Endothelial-Fibroblast","THCA","Boundary",0.60447761,0.51455087,5
"Endothelial-Fibroblast","THCA","Malignant",0.52777778,0.44277287,5
"Endothelial-Fibroblast","THCA","Normal",0.21619217,0.21974658,5
"Endothelial-Fibroblast","UCEC","Boundary",0.89534884,0.81143887,5
"Endothelial-Fibroblast","UCEC","Malignant",0,0.26194472,5
"Endothelial-Fibroblast","UCEC","Normal",0.32857143,0.45700289,5
"Endothelial-Mural","BRCA","Boundary",0.92346939,0.67362632,75
"Endothelial-Mural","BRCA","Malignant",0.76216216,0.68289542,75
"Endothelial-Mural","BRCA","Normal",0.72327791,0.72627996,75
"Endothelial-Mural","COCA","Boundary",0.56164384,0.46883102,27
"Endothelial-Mural","COCA","Malignant",0.49618321,0.49365423,27
"Endothelial-Mural","COCA","Normal",0.46998723,0.45309508,27
"Endothelial-Mural","HNCA","Boundary",0.72321552,0.60265031,26
"Endothelial-Mural","HNCA","Malignant",0.44633933,0.47554417,26
"Endothelial-Mural","HNCA","Normal",0.53337369,0.50501316,26
"Endothelial-Mural","KICA","Boundary",0.60227273,0.56958294,23
"Endothelial-Mural","KICA","Malignant",0.43186583,0.49918506,23
"Endothelial-Mural","KICA","Normal",0.31014493,0.32535292,23
"Endothelial-Mural","LICA","Boundary",0.97271931,0.89359087,12
"Endothelial-Mural","LICA","Malignant",0.60936079,0.66856958,12
"Endothelial-Mural","LICA","Normal",0.71945075,0.71306728,12
"Endothelial-Mural","LUCA","Boundary",0.48492462,0.42112524,22
"Endothelial-Mural","LUCA","Malignant",0.6031984,0.59692787,22
"Endothelial-Mural","LUCA","Normal",0.28468203,0.30746084,22
