category,sample_id,Malignant,Boundary,Normal
Epi-Epi,01_034_C1d1,0.0,0.523809523809523,0.404606998417443
Epi-Epi,01_034_C3d1,0.395647793310663,0.36231884057971,0.207792207792207
Epi-Epi,01_039_C1d1,0.0,0.104651162790697,0.402111105479243
Epi-Epi,01_039_C3d1,0.469877344877344,0.25284751990202,0.17955554324416
Epi-Epi,1142243F,0.471502590673575,0.461063140852671,0.266861924868893
Epi-Epi,1160920F,0.313886458473549,0.64041890683747,0.420655272390605
Epi-Epi,A_955_OvarianTumor,0.427272727272727,0.553906879162735,0.385967371483098
Epi-Epi,A_GTFB1154_OvarianCancerTumor,0.0,0.351666666666666,0.421347725843638
Epi-Epi,Ajou_Visium_P1,0.489150121908742,0.482479784366576,0.210658674013203
Epi-Epi,Ajou_Visium_P2,0.227468700405572,0.499968789013732,0.442038289035757
Epi-Epi,Ajou_Visium_P4,0.641987693953986,0.474106945366069,0.342381337229181
Epi-Epi,B_GTFB1191_OvarianCancerTumor,0.570867237687366,0.615384615384615,0.533800780114613
Epi-Epi,CID4290,0.453947368421052,0.442249041477866,0.23809082784954
Epi-Epi,CID4465,0.303030303030303,0.473119224147018,0.527683706928989
Epi-Epi,CID44971,0.0,0.510948905109489,0.340264451551765
Epi-Epi,CID4535,0.713003220611916,0.533596837944664,0.332968636032093
Epi-Epi,C_GTFB1170_SmallCellOvarianCancer,0.796116504854368,0.521739130434782,0.430508539159725
Epi-Epi,Colon_10x_Visium_SampleP2_CRC,0.263910139647844,0.401707646973576,0.204176404713214
Epi-Epi,CytAssist_11mm_FFPE_Human_Lung_Cancer_230214,0.36163901779019,0.548973166715102,0.386530977734753
Epi-Epi,CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715,0.285902225109631,0.669902912621359,0.295633399356803
Epi-Epi,CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714,0.33848174711218,0.540175438596491,0.469682758620689
Epi-Epi,CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107,0.373419383554022,0.39504394032291,0.48794728602095
Epi-Epi,D_GTFB1170_SmallCellOvarianCancer,0.730242055242055,0.390804597701149,0.589996114996115
Epi-Epi,D_GTFB_1230_OvarianTumor,0.0,0.525641025641025,0.177103669472778
Epi-Epi,E_MTAB_13530_P10_T1,0.294434525641814,0.470078492935635,0.517723501614386
Epi-Epi,E_MTAB_13530_P10_T2,0.291497975708502,0.504600063617901,0.355670995116073
Epi-Epi,E_MTAB_13530_P10_T3,0.838979096677864,0.0,0.269321057720603
Epi-Epi,E_MTAB_13530_P10_T4,0.155122655122655,0.50638596491228,0.388728736377388
Epi-Epi,E_MTAB_13530_P11_T1,0.358395989974937,0.611830357142857,0.382568815346214
Epi-Epi,E_MTAB_13530_P11_T2,0.693877551020408,0.46201923076923,0.302893956437263
Epi-Epi,E_MTAB_13530_P11_T3,1.0,0.0,0.32425200793901
Epi-Epi,E_MTAB_13530_P11_T4,1.0,0.0,0.404652338539649
Epi-Epi,E_MTAB_13530_P15_T1,0.562114223136656,0.464446871710217,0.365043848864847
