subtype,lineage,Malignant,Boundary,Normal
Venous_EC,Endothelial,0.0272925890826151,0.0102045928205329,0.100621511922881
Venous_iEC,Endothelial,0.0236762965706252,0.0136161509374859,0.0
apCAF,Fibroblast,0.0545356513800293,0.0179269734048994,0.0
cyc_mCAF,Fibroblast,0.0,0.0209680365457512,0.0
iCAF,Fibroblast,0.00176313118665886,0.00745521803321184,0.0325152207001522
mCAF,Fibroblast,0.0,0.00303711888649344,0.0
myoCAF,Fibroblast,0.0274846176189652,0.00574321018438487,0.0697552004058853
pnCAF,Fibroblast,0.0,0.00212115062204528,0.00459157787924911
tCAF,Fibroblast,0.0228173503441273,0.0119388974033655,0.0
vCAF,Fibroblast,0.146484736895549,0.0257752474839558,0.38970700152207
gd_T,T cell,0.00501483992066898,0.00665537284223867,0.0122010018522445
