LR pair,Median Jaccard index,No. of cancer types tested,No. of cancer types with P < 0.01,Replication P value,BH-adjusted q value (FDR),Rank
LYZ-ITGAL,0.00712836123795024,13,6,1.61570301840039e-09,5.00508890588923e-09,204
LAMC1-ITGB4,0.0071011281224818,13,5,1.20372945191273e-07,2.71960916688226e-07,205
TNC-SDC1,0.00705882352941174,13,6,1.61570301840039e-09,5.00508890588923e-09,206
CCL5-SDC4,0.00693045563549155,13,8,1.2308202828208e-13,7.49241691813185e-13,207
APOE-LDLR,0.00677339901477829,13,9,6.8960885995e-16,6.49536993763716e-15,208
SERPINE1-ITGB5,0.00595238095238095,13,6,1.61570301840039e-09,5.00508890588923e-09,209
COL6A2-ITGB1,0.00561797752808985,13,9,6.8960885995e-16,6.49536993763716e-15,210
TGS1-RXRA,0.00558659217877095,13,4,6.6520212646993e-06,1.19342569407861e-05,211
CD14-RIPK1,0.0048780487804878,13,6,1.61570301840039e-09,5.00508890588923e-09,212
COL6A2-ITGA2,0.0048543689320388,13,8,1.2308202828208e-13,7.49241691813185e-13,213
FN1-ITGA3,0.00471698113207545,13,9,6.8960885995e-16,6.49536993763716e-15,214
LAMA3-ITGA3,0.00458715596330275,13,7,1.62788813920032e-11,6.81464284097673e-11,215
LAMA4-ITGAV,0.0045045045045045,13,8,1.2308202828208e-13,7.49241691813185e-13,216
ICAM1-CAV1,0.0044247787610619,13,9,6.8960885995e-16,6.49536993763716e-15,217
VCAM1-ITGB7,0.0043859649122807,13,4,6.6520212646993e-06,1.19342569407861e-05,218
B2M-LILRB2,0.0042918454935622,13,10,2.7827128e-18,4.51058330604651e-17,219
ADAM10-TREM2,0.0042194092827004,13,7,1.62788813920032e-11,6.81464284097673e-11,220
JAG1-NOTCH1,0.0040983606557377,13,3,0.000265305294717217,0.000378542047938383,221
VEGFA-EGFR,0.0040322580645161,13,2,0.0072489436779352,0.00862203710498436,222
HSPG2-SDC1,0.00396825396825395,13,6,1.61570301840039e-09,5.00508890588923e-09,223
WNT5A-LRP5,0.00364963503649635,13,2,0.0072489436779352,0.00862203710498436,224
JAG1-NOTCH3,0.00364963503649635,13,6,1.61570301840039e-09,5.00508890588923e-09,225
IL16-CD4,0.00352112676056335,13,6,1.61570301840039e-09,5.00508890588923e-09,226
LAMA3-SDC2,0.00352112676056335,13,6,1.61570301840039e-09,5.00508890588923e-09,227
VCL-ITGB5,0.00349650349650345,13,5,1.20372945191273e-07,2.71960916688226e-07,228
THBS1-ITGB1,0.00344827586206895,13,7,1.62788813920032e-11,6.81464284097673e-11,229
FADD-TRADD,0.00306748466257665,13,0,1.0,1.0,230
SPON2-ITGB2,0.0029940119760479,13,11,7.65766e-21,2.96521612222222e-19,231
ADAM15-ITGA5,0.00260416666666665,13,3,0.000265305294717217,0.000378542047938383,232
WNT5A-FZD5,0.0024875621890547,13,1,0.122478977001032,0.128759950180572,233
CCL4-CCR1,0.00228310502283105,13,10,2.7827128e-18,4.51058330604651e-17,234
PDGFC-PDGFRA,0.00228310502283105,13,6,1.61570301840039e-09,5.00508890588923e-09,235
