"lr_pair","cancer_type","strength","group_pair","z_score"
"VEGFC-CCBE1","BRCA",0.023696682464455,"T cell-B cell",0.658179091023671
"VEGFC-CCBE1","COCA",0.0347490347490347,"T cell-B cell",1.50666613089859
"VEGFC-CCBE1","HNCA",0,"T cell-B cell",-1.16101083718499
"VEGFC-CCBE1","KICA",0.00615384615384615,"T cell-B cell",-0.68858120659788
"VEGFC-CCBE1","LICA",0.0151559475311317,"T cell-B cell",0.0025084504811638
"VEGFC-CCBE1","LUCA",0.00620099420898888,"T cell-B cell",-0.684961659128358
"VEGFC-CCBE1","OVCA",0.0131995624136342,"T cell-B cell",-0.147682872999971
"VEGFC-CCBE1","PACA",0.00370370370370371,"T cell-B cell",-0.876678189146451
"VEGFC-CCBE1","PRCA",0.0261793921736285,"T cell-B cell",0.848776256022149
"VEGFC-CCBE1","SKCA",0.003690036900369,"T cell-B cell",-0.877727387109693
"VEGFC-CCBE1","STCA",0,"T cell-B cell",-1.16101083718499
"VEGFC-CCBE1","THCA",0.0338733431516937,"T cell-B cell",1.43943944899958
"VEGFC-CCBE1","UECA",0.03,"T cell-B cell",1.14208361192717
"LRPAP1-SORT1","BRCA",0.0207317073170732,"T cell-B cell",-0.986159409405967
"LRPAP1-SORT1","COCA",0.03125,"T cell-B cell",-0.229251385477726
"LRPAP1-SORT1","HNCA",0.0546171345047299,"T cell-B cell",1.45227356690827
"LRPAP1-SORT1","KICA",0.0378006872852234,"T cell-B cell",0.242143347288982
"LRPAP1-SORT1","LICA",0.0509500688675405,"T cell-B cell",1.18838745071704
"LRPAP1-SORT1","LUCA",0.0351315377388036,"T cell-B cell",0.0500683813556887
"LRPAP1-SORT1","OVCA",0.0320056899004268,"T cell-B cell",-0.174871100912819
"LRPAP1-SORT1","PACA",0.0406927887640355,"T cell-B cell",0.450262181905633
"LRPAP1-SORT1","PRCA",0.0580272636897223,"T cell-B cell",1.69767025062505
"LRPAP1-SORT1","SKCA",0.0214277931530432,"T cell-B cell",-0.936068299520452
"LRPAP1-SORT1","STCA",0.0244755244755245,"T cell-B cell",-0.716750168498296
"LRPAP1-SORT1","THCA",0.0114285714285714,"T cell-B cell",-1.65562340075617
"LRPAP1-SORT1","UECA",0.029126213592233,"T cell-B cell",-0.382081414229243
"S100B-ALCAM","BRCA",0.0438799076212471,"T cell-B cell",0.371136096618685
"S100B-ALCAM","COCA",0.0419847328244275,"T cell-B cell",0.207864383678083
"S100B-ALCAM","HNCA",0.0644549209070366,"T cell-B cell",2.14369959238908
"S100B-ALCAM","KICA",0.0412262156448203,"T cell-B cell",0.142517166409695
"S100B-ALCAM","LICA",0.030303986280981,"T cell-B cell",-0.79844674908603
"S100B-ALCAM","LUCA",0.0510166641186362,"T cell-B cell",0.985976722467099
"S100B-ALCAM","OVCA",0.0340453842557629,"T cell-B cell",-0.476120567268784
"S100B-ALCAM","PACA",0.0485674089832893,"T cell-B cell",0.77497028546311
"S100B-ALCAM","PRCA",0.0307736831950608,"T cell-B cell",-0.757981764086544
"S100B-ALCAM","SKCA",0.0253879207448078,"T cell-B cell",-1.22197203148544
"S100B-ALCAM","STCA",0.0266393442622951,"T cell-B cell",-1.11416030791399
"S100B-ALCAM","THCA",0.0282828282828283,"T cell-B cell",-0.972572074642167
"S100B-ALCAM","UECA",0.0478723404255319,"T cell-B cell",0.715089247457195
"C3-CD46","BRCA",0.0419753086419753,"T cell-B cell",-0.32669384340045
"C3-CD46","COCA",0.0443349753694581,"T cell-B cell",-0.162467434561928
"C3-CD46","HNCA",0.0703314821242624,"T cell-B cell",1.64681897735533
"C3-CD46","KICA",0.0350194552529183,"T cell-B cell",-0.810802386860184
"C3-CD46","LICA",0.0335632863919203,"T cell-B cell",-0.91214779293763
"C3-CD46","LUCA",0.0392370820668693,"T cell-B cell",-0.517266991624469
"C3-CD46","OVCA",0.0690419285355995,"T cell-B cell",1.55706954265577
"C3-CD46","PACA",0.0321576034652632,"T cell-B cell",-1.00997951481675
"C3-CD46","PRCA",0.0472047632251903,"T cell-B cell",0.0372620222237143
"C3-CD46","SKCA",0.0681952157860445,"T cell-B cell",1.49814063012856
"C3-CD46","STCA",0.0524691358024691,"T cell-B cell",0.403648085596641
"C3-CD46","THCA",0.0441860465116279,"T cell-B cell",-0.172832479425686
"C3-CD46","UECA",0.0289855072463768,"T cell-B cell",-1.23074881433291
"EFNA3-EPHA4","BRCA",0.0236336779911374,"T cell-B cell",0.502936534604429
"EFNA3-EPHA4","COCA",0.00836820083682008,"T cell-B cell",-0.79792144694055
"EFNA3-EPHA4","HNCA",0.0179054149516337,"T cell-B cell",0.0147987174894208
"EFNA3-EPHA4","KICA",0.0442890442890443,"T cell-B cell",2.26309757239866
"EFNA3-EPHA4","LICA",0.0184243573328081,"T cell-B cell",0.0590207442029252
"EFNA3-EPHA4","LUCA",0.0106912976925051,"T cell-B cell",-0.599957173955785
"EFNA3-EPHA4","OVCA",0.0285431108630147,"T cell-B cell",0.921297184041101
"EFNA3-EPHA4","PACA",0.0130899674670968,"T cell-B cell",-0.395552903468521
"EFNA3-EPHA4","PRCA",0.011804026287042,"T cell-B cell",-0.505135252645106
"EFNA3-EPHA4","SKCA",0,"T cell-B cell",-1.51102335261338
"EFNA3-EPHA4","STCA",0.00809061488673139,"T cell-B cell",-0.821576121805102
"EFNA3-EPHA4","THCA",0.0144230769230769,"T cell-B cell",-0.281951077691699
"EFNA3-EPHA4","UECA",0.03125,"T cell-B cell",1.1519665763836
"EFNA3-EPHB6","BRCA",0.027027027027027,"T cell-B cell",0.907829020174211
"EFNA3-EPHB6","COCA",0.0138613861386139,"T cell-B cell",-0.27846907838324
"EFNA3-EPHB6","HNCA",0.0146168636946304,"T cell-B cell",-0.210396312628711
"EFNA3-EPHB6","KICA",0.0364880273660205,"T cell-B cell",1.76031822352755
"EFNA3-EPHB6","LICA",0.00798962908522466,"T cell-B cell",-0.807547327339381
"EFNA3-EPHB6","LUCA",0.00913280035531867,"T cell-B cell",-0.704541183124133
"EFNA3-EPHB6","OVCA",0.0363177805800756,"T cell-B cell",1.74497803309066
"EFNA3-EPHB6","PACA",0.010719471571335,"T cell-B cell",-0.561573205906054
"EFNA3-EPHB6","PRCA",0.0207030270860058,"T cell-B cell",0.338001150122444
"EFNA3-EPHB6","SKCA",0,"T cell-B cell",-1.52745772686447
"EFNA3-EPHB6","STCA",0.0187074829931973,"T cell-B cell",0.158191433075573
"EFNA3-EPHB6","THCA",0.0186757215619694,"T cell-B cell",0.155329549951731
"EFNA3-EPHB6","UECA",0.00613496932515337,"T cell-B cell",-0.97466257569618
"EFNA4-EPHA4","BRCA",0.025089605734767,"T cell-B cell",0.153253178546569
"EFNA4-EPHA4","COCA",0.0202702702702703,"T cell-B cell",-0.294504593148728
"EFNA4-EPHA4","HNCA",0.0205831408775982,"T cell-B cell",-0.26543621909631
"EFNA4-EPHA4","KICA",0.0497354497354497,"T cell-B cell",2.44306435118467
"EFNA4-EPHA4","LICA",0.0296732397030312,"T cell-B cell",0.579112251237446
"EFNA4-EPHA4","LUCA",0.00974572136682086,"T cell-B cell",-1.27232583008535
"EFNA4-EPHA4","OVCA",0.0204865888096987,"T cell-B cell",-0.274406737769209
"EFNA4-EPHA4","PACA",0.0293865595661405,"T cell-B cell",0.55247719745688
"EFNA4-EPHA4","PRCA",0.0347710379558862,"T cell-B cell",1.05274161426187
"EFNA4-EPHA4","SKCA",0.0127118644067797,"T cell-B cell",-0.996745595448132
"EFNA4-EPHA4","STCA",0.0196078431372549,"T cell-B cell",-0.356049779030586
"EFNA4-EPHA4","THCA",0.0114285714285714,"T cell-B cell",-1.11597456562209
"EFNA4-EPHA4","UECA",0.0212314225053079,"T cell-B cell",-0.205205272487029
"COL1A1-DDR1","BRCA",0.0237154150197628,"T cell-B cell",-0.227866790382457
"COL1A1-DDR1","COCA",0.00344827586206897,"T cell-B cell",-0.653369923063283
"COL1A1-DDR1","HNCA",0.0243924829895237,"T cell-B cell",-0.213651930557915
"COL1A1-DDR1","KICA",0.0134983127109111,"T cell-B cell",-0.442372103910466
"COL1A1-DDR1","LICA",0.161224451939813,"T cell-B cell",2.65909843574779
"COL1A1-DDR1","LUCA",0.0115540717465305,"T cell-B cell",-0.483190919757806
"COL1A1-DDR1","OVCA",0.00705972618027462,"T cell-B cell",-0.577548495482355
"COL1A1-DDR1","PACA",0.00714929860999343,"T cell-B cell",-0.575667946424561
"COL1A1-DDR1","PRCA",0.0476965035109246,"T cell-B cell",0.275609709122002
"COL1A1-DDR1","SKCA",0.0123862793988813,"T cell-B cell",-0.465718944045744
"COL1A1-DDR1","STCA",0.0278293135435993,"T cell-B cell",-0.141496597934307
"COL1A1-DDR1","THCA",0,"T cell-B cell",-0.725765546848252
"COL1A1-DDR1","UECA",0.109442060085837,"T cell-B cell",1.57194105353736
"COL3A1-DDR1","BRCA",0.0157563025210084,"T cell-B cell",-0.426801064550186
"COL3A1-DDR1","COCA",0,"T cell-B cell",-0.753488863127263
"COL3A1-DDR1","HNCA",0.0220764000092831,"T cell-B cell",-0.295761518153813
"COL3A1-DDR1","KICA",0.0158371040723982,"T cell-B cell",-0.425125742506201
"COL3A1-DDR1","LICA",0.151146691938544,"T cell-B cell",2.38035424414829
"COL3A1-DDR1","LUCA",0.0105640576240756,"T cell-B cell",-0.534455957110822
"COL3A1-DDR1","OVCA",0.0117822264226594,"T cell-B cell",-0.509198706396447
"COL3A1-DDR1","PACA",0.0122219541616405,"T cell-B cell",-0.500081485726848
"COL3A1-DDR1","PRCA",0.0843247185377638,"T cell-B cell",0.994881773194501
"COL3A1-DDR1","SKCA",0.00592137521271379,"T cell-B cell",-0.630716338912836
"COL3A1-DDR1","STCA",0.0295138888888889,"T cell-B cell",-0.141554218200016
"COL3A1-DDR1","THCA",0,"T cell-B cell",-0.753488863127263
"COL3A1-DDR1","UECA",0.113289760348584,"T cell-B cell",1.59543674046891
"LAMC3-ITGA3","BRCA",0.0241935483870968,"T cell-B cell",-0.324798360136256
"LAMC3-ITGA3","COCA",0.01931330472103,"T cell-B cell",-0.446945746091866
"LAMC3-ITGA3","HNCA",0.0147457695733139,"T cell-B cell",-0.561266365456255
"LAMC3-ITGA3","KICA",0.0167410714285714,"T cell-B cell",-0.511326050486591
"LAMC3-ITGA3","LICA",0.128956224603678,"T cell-B cell",2.29730166625086
"LAMC3-ITGA3","LUCA",0.0279464224463195,"T cell-B cell",-0.230867854300647
"LAMC3-ITGA3","OVCA",0.0295310435931308,"T cell-B cell",-0.191206447195339
"LAMC3-ITGA3","PACA",0.0141781051221962,"T cell-B cell",-0.575474411928622
"LAMC3-ITGA3","PRCA",0.112369080075499,"T cell-B cell",1.88214281697605
"LAMC3-ITGA3","SKCA",0.0115920664701153,"T cell-B cell",-0.640200250010891
"LAMC3-ITGA3","STCA",0.0204081632653061,"T cell-B cell",-0.419542583806268
"LAMC3-ITGA3","THCA",0,"T cell-B cell",-0.930337528809805
"LAMC3-ITGA3","UECA",0.0632411067193676,"T cell-B cell",0.652521114995625
"APOE-VLDLR","BRCA",0.036734693877551,"T cell-B cell",-0.499000364244542
"APOE-VLDLR","COCA",0.0409252669039146,"T cell-B cell",-0.243696402627242
"APOE-VLDLR","HNCA",0.0405463116127707,"T cell-B cell",-0.266783647855094
"APOE-VLDLR","KICA",0.0512589928057554,"T cell-B cell",0.385869326071349
"APOE-VLDLR","LICA",0.0172570739197192,"T cell-B cell",-1.68564321877218
"APOE-VLDLR","LUCA",0.0868596915725192,"T cell-B cell",2.55478497897097
"APOE-VLDLR","OVCA",0.0520242914979757,"T cell-B cell",0.43249392531236
"APOE-VLDLR","PACA",0.0529084190666791,"T cell-B cell",0.486357983865928
"APOE-VLDLR","PRCA",0.0440926476838079,"T cell-B cell",-0.0507287927156786
"APOE-VLDLR","SKCA",0.0247772310147626,"T cell-B cell",-1.22748967120949
"APOE-VLDLR","STCA",0.0509666080843585,"T cell-B cell",0.368056254393709
"APOE-VLDLR","THCA",0.043424317617866,"T cell-B cell",-0.0914457334370246
"APOE-VLDLR","UECA",0.0422535211267606,"T cell-B cell",-0.162774637753059
"PTGS2-ALOX5","BRCA",0.030188679245283,"T cell-B cell",-0.694869979913394
"PTGS2-ALOX5","COCA",0.0815217391304348,"T cell-B cell",1.62282603657726
"PTGS2-ALOX5","HNCA",0.0377090329364675,"T cell-B cell",-0.355324785614528
"PTGS2-ALOX5","KICA",0.029585798816568,"T cell-B cell",-0.722090129485213
"PTGS2-ALOX5","LICA",0.0273146606203457,"T cell-B cell",-0.824632389036094
"PTGS2-ALOX5","LUCA",0.083355602214163,"T cell-B cell",1.70562525356248
"PTGS2-ALOX5","OVCA",0.044922480620155,"T cell-B cell",-0.029636447552257
"PTGS2-ALOX5","PACA",0.043998355879544,"T cell-B cell",-0.0713608301401359
"PTGS2-ALOX5","PRCA",0.0802936910804931,"T cell-B cell",1.56737946706091
"PTGS2-ALOX5","SKCA",0.0323775249593685,"T cell-B cell",-0.596043239337269
"PTGS2-ALOX5","STCA",0.0368932038834951,"T cell-B cell",-0.39215960026306
"PTGS2-ALOX5","THCA",0.0169712793733681,"T cell-B cell",-1.29163773737884
"PTGS2-ALOX5","UECA",0.0473933649289099,"T cell-B cell",0.0819243815201393
"SPON2-ITGAM","BRCA",0.072463768115942,"T cell-B cell",0.666263320783587
"SPON2-ITGAM","COCA",0.0664395229982964,"T cell-B cell",0.479898924972488
"SPON2-ITGAM","HNCA",0.0421594972598972,"T cell-B cell",-0.27122129650733
"SPON2-ITGAM","KICA",0.0568862275449102,"T cell-B cell",0.184360795230675
"SPON2-ITGAM","LICA",0.0495978088510883,"T cell-B cell",-0.0411117278434318
"SPON2-ITGAM","LUCA",0.0952747775507336,"T cell-B cell",1.37193845652867
"SPON2-ITGAM","OVCA",0.0504754225978647,"T cell-B cell",-0.0139621095129247
"SPON2-ITGAM","PACA",0.0341780031753647,"T cell-B cell",-0.518134609907681
"SPON2-ITGAM","PRCA",0.0100994687617314,"T cell-B cell",-1.26302155099006
"SPON2-ITGAM","SKCA",0.0032452577362757,"T cell-B cell",-1.47506154464491
"SPON2-ITGAM","STCA",0.0248756218905473,"T cell-B cell",-0.805910527702174
"SPON2-ITGAM","THCA",0.0371352785145889,"T cell-B cell",-0.426649150554895
"SPON2-ITGAM","UECA",0.119217081850534,"T cell-B cell",2.11261102014799
"SPP1-CD44","BRCA",0.032258064516129,"T cell-B cell",-0.587785470828266
"SPP1-CD44","COCA",0.0306946688206785,"T cell-B cell",-0.631825996742522
"SPP1-CD44","HNCA",0.0410208430791621,"T cell-B cell",-0.340939852979135
"SPP1-CD44","KICA",0.0167441860465116,"T cell-B cell",-1.02480814446108
"SPP1-CD44","LICA",0.0598615861607488,"T cell-B cell",0.18979989278265
"SPP1-CD44","LUCA",0.0828569403760748,"T cell-B cell",0.837574155034119
"SPP1-CD44","OVCA",0.123821425493407,"T cell-B cell",1.99153503238845
"SPP1-CD44","PACA",0.0538699734378773,"T cell-B cell",0.0210174302508118
"SPP1-CD44","PRCA",0.0795312603499341,"T cell-B cell",0.743890452437273
"SPP1-CD44","SKCA",0.0404544127663715,"T cell-B cell",-0.356896075029423
"SPP1-CD44","STCA",0.00980392156862745,"T cell-B cell",-1.2203139261896
"SPP1-CD44","THCA",0.0153452685421995,"T cell-B cell",-1.06421535453582
"SPP1-CD44","UECA",0.104347826086957,"T cell-B cell",1.44296785787254
"LAMA3-SDC2","BRCA",0.0291970802919708,"T cell-B cell",0.264610524875286
"LAMA3-SDC2","COCA",0.0304659498207885,"T cell-B cell",0.352437231478916
"LAMA3-SDC2","HNCA",0.024601214804723,"T cell-B cell",-0.053499194501742
"LAMA3-SDC2","KICA",0.027355623100304,"T cell-B cell",0.137151304819495
"LAMA3-SDC2","LICA",0.0190362706347361,"T cell-B cell",-0.43868514765362
"LAMA3-SDC2","LUCA",0.0272232523418499,"T cell-B cell",0.127989064335648
"LAMA3-SDC2","OVCA",0.0552639122800731,"T cell-B cell",2.06886537780595
"LAMA3-SDC2","PACA",0.0147364803796038,"T cell-B cell",-0.736301575992413
"LAMA3-SDC2","PRCA",0.0446816235199976,"T cell-B cell",1.3363963973332
"LAMA3-SDC2","SKCA",0.00394199529047065,"T cell-B cell",-1.48345804348511
"LAMA3-SDC2","STCA",0.00513698630136986,"T cell-B cell",-1.40074494925074
"LAMA3-SDC2","THCA",0.0150375939849624,"T cell-B cell",-0.715459546397115
"LAMA3-SDC2","UECA",0.0331858407079646,"T cell-B cell",0.540698556632246
"DSC2-DSG2","BRCA",0.018450184501845,"T cell-B cell",-0.333581498433656
"DSC2-DSG2","COCA",0.0290519877675841,"T cell-B cell",0.387466973947075
"DSC2-DSG2","HNCA",0.00625096020894146,"T cell-B cell",-1.16327356308968
"DSC2-DSG2","KICA",0.0355160932297447,"T cell-B cell",0.827102878516363
"DSC2-DSG2","LICA",0.0460336785787777,"T cell-B cell",1.54242353283955
"DSC2-DSG2","LUCA",0.0182111169355621,"T cell-B cell",-0.349840930828624
"DSC2-DSG2","OVCA",0.0498195772953778,"T cell-B cell",1.79990958665215
"DSC2-DSG2","PACA",0.0209644226154079,"T cell-B cell",-0.162583461067269
"DSC2-DSG2","PRCA",0.00288420826202797,"T cell-B cell",-1.39225266101841
"DSC2-DSG2","SKCA",0.00521048642689816,"T cell-B cell",-1.23403813137015
"DSC2-DSG2","STCA",0.0239043824701195,"T cell-B cell",0.0373687082916
"DSC2-DSG2","THCA",0.0307881773399015,"T cell-B cell",0.505548474565785
"DSC2-DSG2","UECA",0.0165289256198347,"T cell-B cell",-0.464249909004739
"LRPAP1-VLDLR","BRCA",0.0177514792899408,"T cell-B cell",-0.595189871978856
"LRPAP1-VLDLR","COCA",0.0251396648044693,"T cell-B cell",-0.102982109912756
"LRPAP1-VLDLR","HNCA",0.0369273403455274,"T cell-B cell",0.682323752618199
"LRPAP1-VLDLR","KICA",0.0287859824780976,"T cell-B cell",0.13993895079821
"LRPAP1-VLDLR","LICA",0.024715727837135,"T cell-B cell",-0.131225183335642
"LRPAP1-VLDLR","LUCA",0.0342749069611372,"T cell-B cell",0.505616183812189
"LRPAP1-VLDLR","OVCA",0.0313845675763091,"T cell-B cell",0.313059096903616
"LRPAP1-VLDLR","PACA",0.0654953829668432,"T cell-B cell",2.58555321235439
"LRPAP1-VLDLR","PRCA",0.0180130399264607,"T cell-B cell",-0.577764460111101
"LRPAP1-VLDLR","SKCA",0.0219839951683527,"T cell-B cell",-0.313215743916466
"LRPAP1-VLDLR","STCA",0.026378896882494,"T cell-B cell",-0.0204233210727081
"LRPAP1-VLDLR","THCA",0.0160599571734475,"T cell-B cell",-0.707880642101947
"LRPAP1-VLDLR","UECA",0,"T cell-B cell",-1.77780986405713
"LRPAP1-LRP8","BRCA",0.0280612244897959,"T cell-B cell",-0.520892064767879
"LRPAP1-LRP8","COCA",0.0340314136125654,"T cell-B cell",-0.162650268401766
"LRPAP1-LRP8","HNCA",0.0463313960965393,"T cell-B cell",0.575411412680538
"LRPAP1-LRP8","KICA",0.0324022346368715,"T cell-B cell",-0.260409316038726
"LRPAP1-LRP8","LICA",0.0149343018151956,"T cell-B cell",-1.30857437482616
"LRPAP1-LRP8","LUCA",0.0293162719633308,"T cell-B cell",-0.445582815396005
"LRPAP1-LRP8","OVCA",0.0415023224629584,"T cell-B cell",0.28564236555264
"LRPAP1-LRP8","PACA",0.0837277439711517,"T cell-B cell",2.81938301301713
"LRPAP1-LRP8","PRCA",0.0315107072639354,"T cell-B cell",-0.313905505359116
"LRPAP1-LRP8","SKCA",0.0488356508627911,"T cell-B cell",0.725679470789269
"LRPAP1-LRP8","STCA",0.031413612565445,"T cell-B cell",-0.319731682468338
