cancer_type,lr_pair,sc_lr_score,visium_median_jaccard,x_sc_scaled,y_visium_scaled
STCA,CALR-LRP1,1.0002398,0.0343434343434343,0.568953380599464,0.383979220987936
STCA,CALR-SCARF1,1.0660343,0.0582120582120582,0.606378409277439,0.650844075197848
STCA,CCL2-CCR10,0.403756,0.0451505016722408,0.229663267885678,0.504808409256716
STCA,CD14-ITGB1,1.1972171,0.0722433460076045,0.680997413176807,0.807721890716068
STCA,CD99-CD81,1.5986774,0.0435643564356435,0.90935484792543,0.487074399133212
STCA,COL16A1-ITGB1,0.867005,0.0550161812297734,0.493167164260649,0.615112344301063
STCA,COL18A1-GPC1,0.6716272,0.0793918918918918,0.382032954440078,0.887646718629207
STCA,COL18A1-GPC4,0.6357593,0.0763052208835341,0.361630683944539,0.853135972925004
STCA,COL18A1-ITGA3,1.3343292,0.100358422939068,0.758989103585539,1.0
STCA,COL18A1-ITGA5,1.6998856,0.174603174603174,0.966923790427405,1.0
STCA,COL18A1-ITGB1,2.0720704,0.0961538461538461,1.0,1.0
STCA,COL18A1-ITGB5,1.3466522,0.0970873786407767,0.765998635208983,1.0
STCA,COL18A1-KDR,1.7689602,0.131756756756756,1.0,1.0
STCA,COL1A1-CD36,1.7876058,0.064516129032258,1.0,0.721327189332176
STCA,COL1A1-CD44,1.3982517,0.0456942003514938,0.795349306880158,0.510887271179028
STCA,COL1A1-CD93,2.0373807,0.0789049919484702,1.0,0.882202899030255
STCA,COL1A1-DDR2,0.35166597,0.0606060606060606,0.200033574422143,0.677610389978712
STCA,COL1A1-FLT4,1.5055138,0.0654761904761904,0.856361810486991,0.732061224887714
STCA,COL1A1-ITGA1,1.6546597,0.0737833594976452,0.941198530649046,0.824940121551791
STCA,COL1A1-ITGA2,1.4484345,0.0399201596806387,0.823894135538193,0.446330196991965
STCA,COL1A1-ITGA5,1.7789812,0.086105675146771,1.0,0.962710651907132
STCA,COL1A1-ITGAV,1.5472134,0.0662983425414364,0.880081250954812,0.741253354783341
STCA,COL1A1-ITGB1,2.151166,0.0513595166163142,1.0,0.57422874437773
STCA,COL1A2-CD36,1.8836551,0.0485436893203883,1.0,0.542746186147997
STCA,COL1A2-CD44,1.494301,0.0433212996389891,0.849983779472843,0.48435688525554
STCA,COL1A2-CD93,2.13343,0.0695067264573991,1.0,0.77712492034554
STCA,COL1A2-FLT4,1.6015631,0.05078125,0.910996283079676,0.567763393165756
STCA,COL1A2-ITGA1,1.750709,0.0654761904761904,0.995833003241731,0.732061224887714
STCA,COL1A2-ITGA2,1.5444838,0.0389863547758284,0.878528608130877,0.435889724547708
STCA,COL1A2-ITGAV,1.6432627,0.0496894409937888,0.934715723547497,0.555556344578819
STCA,COL1A2-ITGB1,2.2472153,0.0428571428571428,1.0,0.479167347199231
STCA,COL3A1-DDR2,0.3596192,0.0790273556231003,0.204557506678373,0.883570994835463
STCA,COL3A1-ITGA2,1.4652978,0.05078125,0.833486266888158,0.567763393165756
STCA,COL3A1-ITGB1,2.1680293,0.08206106870229,1.0,0.917489640629572
STCA,COL4A1-CD47,1.4236343,0.0782608695652174,0.809787360713253,0.875001242711641
