"lr_pair","cancer_type","strength","group_pair","z_score"
"COL18A1-KDR","HNCA",0.01043502,"Endothelial-Mural",-0.6873424
"COL1A1-ITGA5","HNCA",0.05038704,"Endothelial-Mural",0.87214712
"COL1A2-ITGA1","HNCA",0.00137302,"Endothelial-Mural",-1.3074276
"COL4A1-CD47","HNCA",0.02174322,"Endothelial-Mural",0.43417312
"COL4A1-ITGA1","HNCA",0.02192872,"Endothelial-Mural",-0.3756044
"COL4A1-ITGAV","HNCA",0.00737192,"Endothelial-Mural",-0.6275624
"COL5A2-ITGB1","HNCA",0.04265155,"Endothelial-Mural",0.21561956
"COL6A1-ITGA1","HNCA",0.0007996,"Endothelial-Mural",-1.2958002
"COL6A2-ITGA1","HNCA",0.00552968,"Endothelial-Mural",-1.122253
"COL6A2-ITGB1","HNCA",0.09985489,"Endothelial-Mural",0.53686235
"COL6A3-ITGA1","HNCA",0.00037762,"Endothelial-Mural",-1.0256662
"COL6A3-ITGB1","HNCA",0.03133842,"Endothelial-Mural",0.12497622
"EDN1-EDNRA","HNCA",0.00258684,"Endothelial-Mural",-0.3367273
"EFEMP2-AQP1","HNCA",0.01119975,"Endothelial-Mural",0.17822696
"FYN-THY1","HNCA",0.00723583,"Endothelial-Mural",-0.1924517
"GNAI2-EDNRA","HNCA",0.01057625,"Endothelial-Mural",-0.5993224
"GNAI2-F2R","HNCA",0.00513109,"Endothelial-Mural",-0.2745841
"GNAI2-S1PR1","HNCA",0.00140615,"Endothelial-Mural",-0.9867342
"ICAM1-CAV1","HNCA",0.02331253,"Endothelial-Mural",-0.3579099
"LAMA4-ITGA6","HNCA",0.00828487,"Endothelial-Mural",-0.110862
"LAMA4-ITGAV","HNCA",0.00461389,"Endothelial-Mural",-0.0954504
"LAMC1-ITGA1","HNCA",0.00504398,"Endothelial-Mural",-0.4077227
"LAMC1-ITGAV","HNCA",0.00167646,"Endothelial-Mural",-0.6298977
"LUM-ITGB1","HNCA",0.05628524,"Endothelial-Mural",1.19119338
"PGF-NRP1","HNCA",0.00620111,"Endothelial-Mural",-0.4039965
"PGF-NRP2","HNCA",0.00848985,"Endothelial-Mural",0.47649417
"THBS1-ITGA6","HNCA",0.00302244,"Endothelial-Mural",-0.5189588
"THBS1-ITGB1","HNCA",0.01796071,"Endothelial-Mural",-0.2163341
"TIMP1-CD63","HNCA",0.1826722,"Endothelial-Mural",1.39561356
"TIMP2-CD44","HNCA",0.00823541,"Endothelial-Mural",-0.2887742
"TIMP3-CD44","HNCA",0.01109037,"Endothelial-Mural",-0.5596168
"ADAM10-CD44","KICA",0.00175017,"Endothelial-Mural",-0.486606
"APP-CAV1","KICA",0.09827631,"Endothelial-Mural",0.06754278
"APP-CD74","KICA",0.07325113,"Endothelial-Mural",0.63044854
"BGN-LY96","KICA",0.00972939,"Endothelial-Mural",-0.4874886
"COL18A1-ITGB1","KICA",0.10311855,"Endothelial-Mural",1.10966157
"COL18A1-KDR","KICA",0.04800247,"Endothelial-Mural",1.43002202
"COL1A1-ITGA5","KICA",0.02824198,"Endothelial-Mural",-0.0129753
"COL1A1-ITGAV","KICA",0.0056172,"Endothelial-Mural",-0.4647806
"COL1A2-ITGA1","KICA",0.03816433,"Endothelial-Mural",2.225456
"COL1A2-ITGAV","KICA",0.00848868,"Endothelial-Mural",-0.2558363
"COL4A1-CD47","KICA",0.01024693,"Endothelial-Mural",-0.2679983
"COL4A1-ITGA1","KICA",0.06689942,"Endothelial-Mural",1.46876263
"COL4A1-ITGAV","KICA",0.01464486,"Endothelial-Mural",0.14151814
"COL5A2-ITGB1","KICA",0.05045438,"Endothelial-Mural",0.47093226
"COL6A1-ITGA1","KICA",0.02689842,"Endothelial-Mural",2.28518306
"COL6A2-ITGA1","KICA",0.03854169,"Endothelial-Mural",2.47607613
"COL6A2-ITGB1","KICA",0.11619907,"Endothelial-Mural",1.09500753
"COL6A3-ITGA1","KICA",0.00685485,"Endothelial-Mural",1.0596827
"COL6A3-ITGB1","KICA",0.02213661,"Endothelial-Mural",-0.2439989
"EFEMP2-AQP1","KICA",0.00941131,"Endothelial-Mural",-0.0222785
"FYN-THY1","KICA",0.0514668,"Endothelial-Mural",2.74363735
"GNAI2-EDNRA","KICA",0.01275415,"Endothelial-Mural",-0.4409736
"GNAI2-F2R","KICA",0.01271779,"Endothelial-Mural",0.50767897
"GNAI2-S1PR1","KICA",0.01564231,"Endothelial-Mural",2.28269636
"GNAI2-S1PR3","KICA",0.03364439,"Endothelial-Mural",2.43728363
"HBEGF-CD44","KICA",0.00178209,"Endothelial-Mural",-0.4412727
"ICAM1-CAV1","KICA",0.02308174,"Endothelial-Mural",-0.3652414
"LAMA4-ITGA6","KICA",0.00840951,"Endothelial-Mural",-0.0960882
"LAMA4-ITGAV","KICA",0.00567326,"Endothelial-Mural",0.12169157
"LAMC1-ITGA1","KICA",0.02294362,"Endothelial-Mural",1.58229073
"LAMC1-ITGAV","KICA",0.00484431,"Endothelial-Mural",0.2984281
"PGF-NRP1","KICA",0.03834795,"Endothelial-Mural",2.52666035
"PGF-NRP2","KICA",0.01001029,"Endothelial-Mural",0.77642908
"THBS1-ITGA6","KICA",0.00395026,"Endothelial-Mural",-0.4456492
"THBS1-ITGB1","KICA",0.00971001,"Endothelial-Mural",-0.6647993
"TIMP1-CD63","KICA",0.16171324,"Endothelial-Mural",0.66578642
