"cell_pair","cancer_type","row_order","col_order","value","raw_J_comp_agg","mask","n_cancer_topk","top_k","agg","value_type","fill_label","fill_min","fill_mid","fill_max"
"Myeloid-T cell","HNCA",3,8,1.65060235,0.47729154,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Myeloid-T cell","SKCA",3,9,1.82607488,0.4509837,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Myeloid-T cell","THCA",3,10,-0.4427594,0.24680211,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Myeloid-T cell","PRCA",3,11,1.34195487,0.56913907,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Myeloid-T cell","OVCA",3,12,1.38233826,0.64976963,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Myeloid-T cell","LUCA",3,13,1.64879784,0.55801616,FALSE,10,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","LICA",4,1,0.62748325,0.77068591,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","BRCA",4,2,-0.0367844,0.27797834,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","KICA",4,3,1.11170803,0.3654105,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","COCA",4,4,-0.2722504,0.29673913,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","PACA",4,5,-0.4571629,0.14271255,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","STCA",4,6,1.3775975,0.361558,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","UECA",4,7,0.32403679,0.4458042,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","HNCA",4,8,0.66921919,0.35710715,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","SKCA",4,9,0.18797466,0.31007309,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","THCA",4,10,-0.8605257,0.19804401,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","PRCA",4,11,-0.0768507,0.32023307,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","OVCA",4,12,1.76861179,0.74945855,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Fibroblast-Mural","LUCA",4,13,1.9064426,0.60286228,FALSE,9,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","LICA",5,1,1.28482116,0.8065456,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","BRCA",5,2,-0.267859,0.23502304,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","KICA",5,3,-0.0533739,0.18163471,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","COCA",5,4,-0.473313,0.27827897,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","PACA",5,5,-0.8423341,0.10360677,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","STCA",5,6,0.31411435,0.25910364,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","UECA",5,7,-0.2911909,0.39344262,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","HNCA",5,8,-0.4414021,0.22109571,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","SKCA",5,9,-0.9252392,0.21431359,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","THCA",5,10,-0.1743379,0.27812995,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","PRCA",5,11,0.74310514,0.46408078,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","OVCA",5,12,0.80437331,0.50060926,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Myeloid","LUCA",5,13,0.72709747,0.39758328,FALSE,6,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","LICA",6,1,-0.8784877,0.68853083,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","BRCA",6,2,-0.3900544,0.21230769,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","KICA",6,3,-0.782236,0.06666667,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","COCA",6,4,0.73415536,0.38914027,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","PACA",6,5,-0.0820279,0.18079938,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","STCA",6,6,-0.7098601,0.16045549,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","UECA",6,7,1.89640126,0.57962697,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","HNCA",6,8,-0.9135073,0.16327968,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","SKCA",6,9,-0.1806837,0.27836082,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","THCA",6,10,0.65388225,0.3747927,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","PRCA",6,11,1.29465238,0.56084063,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","OVCA",6,12,-0.7657965,0.09538209,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-T cell","LUCA",6,13,-0.0812185,0.2568863,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","LICA",7,1,-1.4020463,0.65996919,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","BRCA",7,2,-0.630358,0.16763679,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","KICA",7,3,-0.4107569,0.12526242,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","COCA",7,4,0.36981977,0.35568953,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","PACA",7,5,0.21857759,0.21131935,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","STCA",7,6,-0.1321237,0.21611374,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","UECA",7,7,-0.03945,0.41486811,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","HNCA",7,8,-0.457786,0.21908926,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","SKCA",7,9,-1.2228423,0.18871355,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","THCA",7,10,0.02585726,0.30149502,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","PRCA",7,11,0.94224503,0.49901658,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","OVCA",7,12,-0.7191231,0.10742749,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Myeloid","LUCA",7,13,-0.387085,0.2036466,FALSE,5,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","LICA",8,1,-0.600301,0.70370672,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","BRCA",8,2,-0.1857686,0.25028313,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","KICA",8,3,-0.1005775,0.174189,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","COCA",8,4,-1.3481497,0.19795758,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","PACA",8,5,0.0968105,0.19895654,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","STCA",8,6,-0.2115458,0.20846233,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","UECA",8,7,-0.740484,0.35520362,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","HNCA",8,8,1.00478796,0.39820234,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","SKCA",8,9,-0.057182,0.28898453,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","THCA",8,10,-0.9439136,0.18831169,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","PRCA",8,11,-0.3991931,0.26368343,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","OVCA",8,12,0.23204638,0.35290394,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"Endothelial-Fibroblast","LUCA",8,13,-0.6631864,0.15558789,FALSE,4,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","LICA",9,1,-0.2459594,0.72303708,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","BRCA",9,2,-0.7193222,0.1510989,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","KICA",9,3,-0.7413669,0.07311321,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","COCA",9,4,-1.1853195,0.21290752,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","PACA",9,5,-0.4815736,0.14023417,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","STCA",9,6,-1.3028215,0.10333049,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","UECA",9,7,-0.2255103,0.39903265,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","HNCA",9,8,-0.5878922,0.20315591,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","SKCA",9,9,0.02784591,0.29629869,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","THCA",9,10,1.28089098,0.44797178,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","PRCA",9,11,-1.5310937,0.06511016,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","OVCA",9,12,-0.9412323,0.05010585,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Mural","LUCA",9,13,-0.9167593,0.11145052,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
"B cell-Endothelial","LICA",10,1,-0.6985422,0.69834738,FALSE,2,5,"median","zscore_by_cancer_type","z-score
 (median Co-enrichment)",-1.5,0,1.5
