lineage,median_betweenness
Epithelial,0.0036347492416333
T cell,0.00646117839943955
B cell,0.0086522314955613
Myeloid,0.0100210866641292
Endothelial,0.0031941086365789
Fibroblast,0.0086535946700584
Mural,0.00325262651798155
