sample_id,Malignant,Boundary,Normal
01_034_C1d1,0.0,0.4375,0.397941529552997
01_034_C3d1,0.435820895522388,0.4375,0.3
01_039_C1d1,0.394366197183098,0.48051948051948,0.229681978798586
01_039_C3d1,0.35576923076923,0.326977904490377,0.288856033357098
1142243F,0.545893719806763,0.560344827586206,0.198945523270334
1160920F,0.326543599800126,0.467730451366815,0.28663097600997
A_955_OvarianTumor,0.440944881889763,0.444444444444444,0.283945549360838
A_GTFB1154_OvarianCancerTumor,0.0,0.416666666666666,0.296163907623135
Ajou_Visium_P1,0.489239509679809,0.656511752012807,0.335519118979121
Ajou_Visium_P2,0.396985566742659,0.496353643713998,0.136315352448776
Ajou_Visium_P4,0.609550561797752,0.423166368515205,0.297604581300624
B_GTFB1191_OvarianCancerTumor,0.486630846125249,0.430846640053226,0.236622765158745
CID4290,0.546052631578947,0.812121212121212,0.270273466371027
CID4465,0.36697247706422,0.416163265306122,0.260362972508591
CID44971,0.364583333333333,0.401268115942028,0.239884393063583
CID4535,0.378031104320915,0.469696969696969,0.276436638086517
C_GTFB1170_SmallCellOvarianCancer,0.261261261261261,0.478260869565217,0.23197058832817
Colon_10x_Visium_SampleP2_CRC,0.279698607927871,0.451926169552721,0.14183685935941
CytAssist_11mm_FFPE_Human_Lung_Cancer_230214,0.172185447587526,0.469404621352673,0.239911591494662
CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715,0.223490745545753,0.5578231292517,0.157019420275921
CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714,0.333333333333333,0.514460421035799,0.368421052631578
CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107,0.493884866977783,0.480391319207108,0.406015037593984
D_GTFB1170_SmallCellOvarianCancer,0.325619177206248,0.46875,0.217373283329343
D_GTFB_1230_OvarianTumor,0.0,0.743589743589743,0.221758871558672
E_MTAB_13530_P10_T1,0.348329550547178,0.479301951618147,0.392134115827305
E_MTAB_13530_P10_T2,0.451327433628318,0.458607135658133,0.21358495402262
E_MTAB_13530_P10_T3,0.569832402234636,0.0,0.170650343671479
E_MTAB_13530_P10_T4,0.397590361445783,0.475741063644289,0.206959033991844
E_MTAB_13530_P11_T1,0.466190814875025,0.44776119402985,0.350787841191067
E_MTAB_13530_P11_T2,0.894736842105263,0.468151574164232,0.319687366689012
E_MTAB_13530_P11_T3,0.0,0.446153846153846,0.330108860686331
E_MTAB_13530_P11_T4,0.5,0.0,0.316892405248239
E_MTAB_13530_P15_T1,0.509174311926605,0.424573665082471,0.39007044395907
E_MTAB_13530_P15_T2,0.571112515802781,0.426708855841241,0.371707691337523
E_MTAB_13530_P16_T1,0.622857142857142,0.375886524822695,0.21424123821384
E_MTAB_13530_P16_T2,0.434782608695652,0.31578947368421,0.205439256543829
E_MTAB_13530_P17_T1,0.474943222350012,0.507954586542285,0.451822711775504
E_MTAB_13530_P17_T2,0.519342432133129,0.496614267054698,0.350238677025728
E_MTAB_13530_P19_T1,0.445624014417661,0.525951382086119,0.419578793414172
E_MTAB_13530_P19_T2,0.493150604599885,0.527571796923624,0.702495201535508
E_MTAB_13530_P24_T1,0.333333333333333,0.0,0.219718825520637
E_MTAB_13530_P24_T2,0.473024948024948,0.475204918032786,0.267006197940341
E_MTAB_13530_P25_T1,0.372507374631268,0.459189378057302,0.410559454995871
E_MTAB_13530_P25_T2,0.262797117724124,0.552238805970149,0.26856110302139
GSE144239_GSM4565823,0.0,0.0,0.373345841150719
GSE144239_GSM4565825,0.526262733446519,0.529670691122978,0.143073830409356
GSE144239_GSM4565826,0.851851851851851,0.0,0.178619851258581
GSE251950_20_00331_LI_SING,0.375721273420659,0.489878542510121,0.242214532871972
GSE251950_21_00731_LI_SING,0.46062753508322,0.432840999206978,0.130651778539102
GSE251950_21_00732_LI_SING,0.186350341516196,0.490196078431372,0.139955962680548
GSE251950_21_00733_LI_SING,0.0,0.447698744769874,0.125536359634116
