cell_type_1,cell_type_2,cancer_type,median_jaccard,n_slides
T cell,Endothelial,LICA,0.688530830296949,12
T cell,Endothelial,LUCA,0.256886302343905,22
T cell,Endothelial,OVCA,0.0953820850679962,24
T cell,Endothelial,PACA,0.180799381389522,14
T cell,Endothelial,PRCA,0.560840631750444,8
T cell,Endothelial,SKCA,0.278360819590204,16
T cell,Endothelial,STCA,0.160455486542443,11
T cell,Endothelial,THCA,0.374792703150912,5
T cell,Endothelial,UECA,0.579626972740315,5
T cell,Fibroblast,BRCA,0.142011834319526,75
T cell,Fibroblast,COCA,0.202020202020202,27
T cell,Fibroblast,HNCA,0.165808823529411,26
T cell,Fibroblast,KICA,0.0867579908675799,23
T cell,Fibroblast,LICA,0.742639462809917,12
T cell,Fibroblast,LUCA,0.113228235415884,22
T cell,Fibroblast,OVCA,0.0624754855656132,24
T cell,Fibroblast,PACA,0.0963701590058515,14
T cell,Fibroblast,PRCA,0.243687457490908,8
T cell,Fibroblast,SKCA,0.198539385796298,16
T cell,Fibroblast,STCA,0.134796238244514,11
T cell,Fibroblast,THCA,0.108251996450754,5
T cell,Fibroblast,UECA,0.423802612481857,5
T cell,Mural,BRCA,0.164705882352941,75
T cell,Mural,COCA,0.289278489548213,27
T cell,Mural,HNCA,0.147665401748886,26
T cell,Mural,KICA,0.0705882352941176,23
T cell,Mural,LICA,0.759302178499002,12
T cell,Mural,LUCA,0.119829694801401,22
T cell,Mural,OVCA,0.048323179350899,24
T cell,Mural,PACA,0.134663708869117,14
T cell,Mural,PRCA,0.0818370377643319,8
T cell,Mural,SKCA,0.270171842592463,16
T cell,Mural,STCA,0.160073597056117,11
T cell,Mural,THCA,0.308610400682011,5
T cell,Mural,UECA,0.409090909090909,5
B cell,Myeloid,BRCA,0.235023041474654,75
B cell,Myeloid,COCA,0.278278972935461,27
B cell,Myeloid,HNCA,0.221095713959237,26
B cell,Myeloid,KICA,0.181634712411705,23
B cell,Myeloid,LICA,0.806545598551708,12
B cell,Myeloid,LUCA,0.397583279017121,22
B cell,Myeloid,OVCA,0.500609260763606,24
B cell,Myeloid,PACA,0.103606766085053,14
B cell,Myeloid,PRCA,0.4640807793692,8
B cell,Myeloid,SKCA,0.214313591569909,16
B cell,Myeloid,STCA,0.259103641456582,11
B cell,Myeloid,THCA,0.278129952456418,5
B cell,Myeloid,UECA,0.393442622950819,5
B cell,Endothelial,BRCA,0.232233502538071,75
B cell,Endothelial,COCA,0.323617339312406,27
B cell,Endothelial,HNCA,0.166862328416677,26
B cell,Endothelial,KICA,0.0794270833333333,23
B cell,Endothelial,LICA,0.698347376085712,12
B cell,Endothelial,LUCA,0.144256081750934,22
B cell,Endothelial,OVCA,0.075840067480553,24
B cell,Endothelial,PACA,0.19654824973087,14
B cell,Endothelial,PRCA,0.411522199017831,8
B cell,Endothelial,SKCA,0.272030993358566,16
B cell,Endothelial,STCA,0.162944582299421,11
B cell,Endothelial,THCA,0.392829306313328,5
B cell,Endothelial,UECA,0.365339578454332,5
B cell,Fibroblast,BRCA,0.163295510606808,75
B cell,Fibroblast,COCA,0.081145584725537,27
B cell,Fibroblast,HNCA,0.173584541401944,26
B cell,Fibroblast,KICA,0.0887708649468892,23
B cell,Fibroblast,LICA,0.691128667922823,12
B cell,Fibroblast,LUCA,0.112494845735907,22
B cell,Fibroblast,OVCA,0.0580640743925352,24
B cell,Fibroblast,PACA,0.0825738988199555,14
B cell,Fibroblast,PRCA,0.200822509519437,8
B cell,Fibroblast,SKCA,0.196504464138635,16
B cell,Fibroblast,STCA,0.126620139581256,11
B cell,Fibroblast,THCA,0.145027624309392,5
B cell,Fibroblast,UECA,0.330645161290322,5
B cell,Mural,BRCA,0.151098901098901,75
B cell,Mural,COCA,0.212907518296739,27
B cell,Mural,HNCA,0.203155907210933,26
B cell,Mural,KICA,0.0731132075471698,23
B cell,Mural,LICA,0.72303707920873,12
B cell,Mural,LUCA,0.11145052319354,22
B cell,Mural,OVCA,0.0501058459534277,24
B cell,Mural,PACA,0.140234174937364,14
B cell,Mural,PRCA,0.065110159118727,8
B cell,Mural,SKCA,0.296298689747566,16
B cell,Mural,STCA,0.10333048676345,11
B cell,Mural,THCA,0.447971781305114,5
B cell,Mural,UECA,0.399032648125755,5
Myeloid,Endothelial,BRCA,0.167636786961583,75
Myeloid,Endothelial,COCA,0.355689525244913,27
Myeloid,Endothelial,HNCA,0.219089263503085,26
Myeloid,Endothelial,KICA,0.125262421273617,23
Myeloid,Endothelial,LICA,0.659969186685508,12
Myeloid,Endothelial,LUCA,0.203646603214522,22
Myeloid,Endothelial,OVCA,0.107427485535376,24
Myeloid,Endothelial,PACA,0.211319345926976,14
Myeloid,Endothelial,PRCA,0.499016583278821,8
Myeloid,Endothelial,SKCA,0.188713546029086,16
Myeloid,Endothelial,STCA,0.216113744075829,11
Myeloid,Endothelial,THCA,0.301495016611295,5
Myeloid,Endothelial,UECA,0.414868105515587,5
Myeloid,Fibroblast,BRCA,0.193648334624322,75
Myeloid,Fibroblast,COCA,0.280821917808219,27
Myeloid,Fibroblast,HNCA,0.188069091689516,26
Myeloid,Fibroblast,KICA,0.114624505928853,23
Myeloid,Fibroblast,LICA,0.69730762720093,12
Myeloid,Fibroblast,LUCA,0.131504681349079,22
Myeloid,Fibroblast,OVCA,0.0660379601755812,24
Myeloid,Fibroblast,PACA,0.122068800655677,14
Myeloid,Fibroblast,PRCA,0.266795165071027,8
Myeloid,Fibroblast,SKCA,0.244069846011593,16
Myeloid,Fibroblast,STCA,0.176422764227642,11
Myeloid,Fibroblast,THCA,0.126081582200247,5
Myeloid,Fibroblast,UECA,0.359756097560975,5
Myeloid,Mural,BRCA,0.159813809154383,75
Myeloid,Mural,COCA,0.18348623853211,27
Myeloid,Mural,HNCA,0.222555475374345,26
Myeloid,Mural,KICA,0.0977218225419664,23
Myeloid,Mural,LICA,0.659923950877781,12
Myeloid,Mural,LUCA,0.118753068237604,22
Myeloid,Mural,OVCA,0.0779815175907871,24
Myeloid,Mural,PACA,0.12766359358824,14
Myeloid,Mural,PRCA,0.0882182373064117,8
Myeloid,Mural,SKCA,0.168330452974349,16
Myeloid,Mural,STCA,0.160421545667447,11
Myeloid,Mural,THCA,0.226527570789865,5
Myeloid,Mural,UECA,0.350243902439024,5
Endothelial,Fibroblast,BRCA,0.250283125707814,75
Endothelial,Fibroblast,COCA,0.19795758051846,27
Endothelial,Fibroblast,HNCA,0.398202341137123,26
Endothelial,Fibroblast,KICA,0.174188998589562,23
Endothelial,Fibroblast,LICA,0.703706718766959,12
Endothelial,Fibroblast,LUCA,0.155587888347908,22
Endothelial,Fibroblast,OVCA,0.352903944289379,24
Endothelial,Fibroblast,PACA,0.198956538334165,14
Endothelial,Fibroblast,PRCA,0.263683427363895,8
Endothelial,Fibroblast,SKCA,0.288984528565087,16
Endothelial,Fibroblast,STCA,0.208462332301341,11
Endothelial,Fibroblast,THCA,0.188311688311688,5
Endothelial,Fibroblast,UECA,0.355203619909502,5
Endothelial,Mural,BRCA,0.670886075949367,75
Endothelial,Mural,COCA,0.39828897338403,27
Endothelial,Mural,HNCA,0.505639804486777,26
Endothelial,Mural,KICA,0.29157667386609,23
Endothelial,Mural,LICA,0.673653262518968,12
Endothelial,Mural,LUCA,0.220746646202819,22
Endothelial,Mural,OVCA,0.400349999132591,24
Endothelial,Mural,PACA,0.246956748801215,14
Endothelial,Mural,PRCA,0.0880458124552611,8
Endothelial,Mural,SKCA,0.495428512826985,16
Endothelial,Mural,STCA,0.267699115044247,11
Endothelial,Mural,THCA,0.458333333333333,5
Endothelial,Mural,UECA,0.62037037037037,5
Fibroblast,Mural,BRCA,0.27797833935018,75
Fibroblast,Mural,COCA,0.296739130434782,27
Fibroblast,Mural,HNCA,0.357107151655077,26
Fibroblast,Mural,KICA,0.365410497981157,23
Fibroblast,Mural,LICA,0.77068590950649,12
Fibroblast,Mural,LUCA,0.60286228140665,22
Fibroblast,Mural,OVCA,0.749458549458549,24
Fibroblast,Mural,PACA,0.142712550607287,14
Fibroblast,Mural,PRCA,0.320233069742553,8
Fibroblast,Mural,SKCA,0.310073085860835,16
Fibroblast,Mural,STCA,0.36155800169348,11
Fibroblast,Mural,THCA,0.198044009779951,5
Fibroblast,Mural,UECA,0.445804195804195,5
