anchor,partner,sample_id,Malignant,Boundary,Normal
HSPA6+_Macro,SPP1+_CXCL3+_Macro,01_034_C1d1,1.0,0.897959183673469,0.877697841726618
HSPA6+_Macro,SPP1+_CXCL3+_Macro,01_034_C3d1,0.807829181494661,0.446808510638297,1.0
HSPA6+_Macro,SPP1+_CXCL3+_Macro,01_039_C1d1,0.0596026490066225,1.0,0.325077399380804
HSPA6+_Macro,SPP1+_CXCL3+_Macro,01_039_C3d1,0.362745098039215,1.0,0.319838056680161
HSPA6+_Macro,SPP1+_CXCL3+_Macro,1142243F,0.786163522012578,0.616279069767441,0.767905711695376
HSPA6+_Macro,SPP1+_CXCL3+_Macro,1160920F,0.592672413793103,0.755905511811023,0.755649717514124
HSPA6+_Macro,SPP1+_CXCL3+_Macro,A_955_OvarianTumor,1.0,0.765578635014836,0.511185682326621
HSPA6+_Macro,SPP1+_CXCL3+_Macro,A_GTFB1154_OvarianCancerTumor,0.0,0.306666666666666,0.706632653061224
HSPA6+_Macro,SPP1+_CXCL3+_Macro,Ajou_Visium_P1,0.948387096774193,0.96917808219178,0.764883955600403
HSPA6+_Macro,SPP1+_CXCL3+_Macro,Ajou_Visium_P2,0.719780219780219,0.774774774774774,0.690966719492868
HSPA6+_Macro,SPP1+_CXCL3+_Macro,Ajou_Visium_P3,,,0.619745845552297
HSPA6+_Macro,SPP1+_CXCL3+_Macro,Ajou_Visium_P4,0.66875,0.762711864406779,0.712626995645863
HSPA6+_Macro,SPP1+_CXCL3+_Macro,B_GTFB1191_OvarianCancerTumor,0.718377088305489,0.950310559006211,0.496336996336996
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CID4290,0.546052631578947,0.866141732283464,0.771084337349397
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CID4465,1.0,0.936708860759493,0.867567567567567
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CID44971,1.0,0.517543859649122,0.806004618937644
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CID4535,0.439024390243902,1.0,0.705223880597014
HSPA6+_Macro,SPP1+_CXCL3+_Macro,C_GTFB1170_SmallCellOvarianCancer,1.0,0.904761904761904,0.711627906976744
HSPA6+_Macro,SPP1+_CXCL3+_Macro,Colon_10x_Visium_SampleP2_CRC,0.292568203198494,0.874074074074074,0.485507246376811
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CytAssist_11mm_FFPE_Human_Lung_Cancer_230214,0.359159553512803,0.761692650334075,0.546954314720812
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715,0.565656565656565,1.0,0.608290155440414
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714,0.406593406593406,0.67391304347826,0.735159817351598
HSPA6+_Macro,SPP1+_CXCL3+_Macro,CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107,0.514423076923076,0.647577092511013,0.646288209606986
HSPA6+_Macro,SPP1+_CXCL3+_Macro,D_GTFB1170_SmallCellOvarianCancer,0.737777777777777,1.0,0.770949720670391
HSPA6+_Macro,SPP1+_CXCL3+_Macro,D_GTFB_1230_OvarianTumor,1.0,1.0,0.71563088512241
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P10_T1,0.397148676171079,0.71042471042471,0.363228699551569
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P10_T2,0.344594594594594,0.700598802395209,0.448717948717948
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P10_T3,0.985815602836879,0.0,0.406493506493506
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P10_T4,1.0,0.545454545454545,0.454983922829582
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P11_T1,0.510791366906474,0.301369863013698,0.401544401544401
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P11_T2,0.0,0.0,0.0675
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P11_T3,1.0,0.0,0.366666666666666
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P11_T4,1.0,0.0,0.541509433962264
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P15_T1,0.595555555555555,0.43859649122807,0.410788381742738
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P15_T2,0.489436619718309,0.568421052631578,0.513265306122449
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P16_T1,1.0,0.724137931034482,0.527777777777777
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P16_T2,0.0,1.0,0.479020979020979
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P17_T1,0.82046332046332,0.6953125,0.523323615160349
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P17_T2,0.728546409807355,0.535019455252918,0.360406091370558
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P19_T1,0.382926829268292,0.370098039215686,0.343333333333333
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P19_T2,0.484042553191489,0.519662921348314,0.483245149911816
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P24_T1,0.244897959183673,1.0,0.548936170212766
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P24_T2,0.388235294117647,0.968609865470852,0.487959442332065
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P25_T1,1.0,0.772413793103448,0.611548556430446
HSPA6+_Macro,SPP1+_CXCL3+_Macro,E_MTAB_13530_P25_T2,1.0,1.0,0.529085872576177
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE144239_GSM4565823,0.0,1.0,0.912663755458515
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE144239_GSM4565824,1.0,,0.889763779527559
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE144239_GSM4565825,0.797333333333333,0.971264367816092,0.625
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE144239_GSM4565826,1.0,1.0,0.747415066469719
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_20_00331_LI_SING,0.715890850722311,0.772972972972973,0.516746411483253
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_00731_LI_SING,0.593548387096774,0.5,0.602895553257497
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_00732_LI_SING,0.20916905444126,1.0,0.521311475409836
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_00733_LI_SING,1.0,0.269230769230769,0.392059553349875
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_00734_LI_SING,0.756232686980609,0.420731707317073,0.575275397796817
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_01251_LI_SING,0.329545454545454,0.763157894736842,0.520527859237536
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_01253_LI_SING,0.954022988505747,0.317073170731707,0.48711943793911
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_01254_LI_SING,0.414772727272727,0.968036529680365,0.737881508078994
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSE251950_21_01675_LI_SING,0.825688073394495,0.857988165680473,0.500621118012422
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM5494475_HNSCC201125T04,1.0,0.956521739130434,0.358585858585858
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM5494476_HNSCC201125T05,0.570224719101123,0.724137931034482,0.678095238095238
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM5494477_HNSCC201125T07,0.0,0.0,0.350409836065573
HSPA6+_Macro,SPP1+_CXCL3+_Macro,GSM5494478_HNSCC201125T10,1.0,1.0,0.253863134657836
