anchor,partner,sample_id,Malignant,Boundary,Normal
Cycling_Bgc,Epi_Cycle,01_034_C1d1,0.0,0.0,0.131782945736434
Cycling_Bgc,Epi_Cycle,01_034_C3d1,0.688212927756654,0.543478260869565,0.46875
Cycling_Bgc,Epi_Cycle,01_039_C1d1,0.63235294117647,0.948717948717948,0.509259259259259
Cycling_Bgc,Epi_Cycle,01_039_C3d1,0.681818181818181,0.188235294117647,0.496025437201907
Cycling_Bgc,Epi_Cycle,1142243F,1.0,0.972067039106145,0.689119170984456
Cycling_Bgc,Epi_Cycle,1160920F,0.594339622641509,0.900442477876106,0.422178988326848
Cycling_Bgc,Epi_Cycle,A_955_OvarianTumor,0.781818181818181,0.579439252336448,0.288407163053722
Cycling_Bgc,Epi_Cycle,A_GTFB1154_OvarianCancerTumor,0.0,0.849462365591397,0.473939393939393
Cycling_Bgc,Epi_Cycle,Ajou_Visium_P1,0.677165354330708,0.195876288659793,0.0937734433608402
Cycling_Bgc,Epi_Cycle,Ajou_Visium_P2,0.100182149362477,0.459459459459459,0.0044493882091212
Cycling_Bgc,Epi_Cycle,Ajou_Visium_P3,,,0.0051194539249146
Cycling_Bgc,Epi_Cycle,Ajou_Visium_P4,0.257452574525745,0.359550561797752,0.108003108003108
Cycling_Bgc,Epi_Cycle,B_GTFB1191_OvarianCancerTumor,0.571095571095571,0.241935483870967,0.584170854271356
Cycling_Bgc,Epi_Cycle,CID4290,0.884615384615384,0.771186440677966,0.425925925925925
Cycling_Bgc,Epi_Cycle,CID4465,1.0,0.442176870748299,0.28415300546448
Cycling_Bgc,Epi_Cycle,CID44971,0.725490196078431,1.0,0.591803278688524
Cycling_Bgc,Epi_Cycle,CID4535,0.344827586206896,0.0,0.475046210720887
Cycling_Bgc,Epi_Cycle,C_GTFB1170_SmallCellOvarianCancer,1.0,1.0,0.325757575757575
Cycling_Bgc,Epi_Cycle,Colon_10x_Visium_SampleP2_CRC,0.24251497005988,0.569491525423728,0.477513227513227
Cycling_Bgc,Epi_Cycle,CytAssist_11mm_FFPE_Human_Lung_Cancer_230214,0.377712031558185,0.727634194831013,0.470833333333333
Cycling_Bgc,Epi_Cycle,CytAssist_11mm_FFPE_Human_Ovarian_Carcinoma_220715,0.682170542635658,0.43103448275862,0.366820276497695
Cycling_Bgc,Epi_Cycle,CytAssist_FFPE_Human_Lung_Squamous_Cell_Carcinoma_220714,0.503768844221105,0.730434782608695,0.430970149253731
Cycling_Bgc,Epi_Cycle,CytAssist_Fresh_Frozen_Human_Breast_Cancer_230107,0.89430894308943,0.294326241134751,0.297423887587822
Cycling_Bgc,Epi_Cycle,D_GTFB1170_SmallCellOvarianCancer,0.68018018018018,1.0,0.414466130884041
Cycling_Bgc,Epi_Cycle,D_GTFB_1230_OvarianTumor,1.0,0.48780487804878,0.298325722983257
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P10_T1,0.295825771324863,0.511784511784511,0.358003442340791
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P10_T2,0.8099173553719,0.798319327731092,0.599496221662468
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P10_T3,0.926174496644295,0.75,0.38625
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P10_T4,0.554455445544554,0.903743315508021,0.398260869565217
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P11_T1,0.56060606060606,0.858823529411764,0.212938005390835
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P11_T2,1.0,0.716049382716049,0.133064516129032
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P11_T3,1.0,1.0,0.199652777777777
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P11_T4,1.0,1.0,0.395738203957382
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P15_T1,0.700404858299595,0.342799188640973,0.421556886227544
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P15_T2,0.619834710743801,0.588377723970944,0.277379733879222
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P16_T1,0.713178294573643,1.0,0.435593220338983
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P16_T2,0.0,0.744680851063829,0.408748114630467
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P17_T1,0.814917127071823,0.961904761904762,0.650943396226415
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P17_T2,0.820175438596491,0.755474452554744,0.557894736842105
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P19_T1,0.990228013029316,0.787965616045845,0.408839779005524
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P19_T2,0.928411633109619,0.729050279329609,0.401079136690647
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P24_T1,0.215384615384615,0.0,0.513426423200859
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P24_T2,0.323529411764705,0.533039647577092,0.409395973154362
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P25_T1,0.4,0.707142857142857,0.460652591170825
Cycling_Bgc,Epi_Cycle,E_MTAB_13530_P25_T2,0.830508474576271,1.0,0.106132075471698
Cycling_Bgc,Epi_Cycle,GSE144239_GSM4565823,1.0,1.0,0.598425196850393
Cycling_Bgc,Epi_Cycle,GSE144239_GSM4565824,0.0,,0.495726495726495
Cycling_Bgc,Epi_Cycle,GSE144239_GSM4565825,0.847087378640776,0.772486772486772,0.492924528301886
Cycling_Bgc,Epi_Cycle,GSE144239_GSM4565826,0.0,0.0,0.344334433443344
Cycling_Bgc,Epi_Cycle,GSE251950_20_00331_LI_SING,0.458498023715415,0.612765957446808,0.199017199017199
Cycling_Bgc,Epi_Cycle,GSE251950_21_00731_LI_SING,0.094059405940594,0.293650793650793,0.183264584560989
Cycling_Bgc,Epi_Cycle,GSE251950_21_00732_LI_SING,0.2425068119891,0.392156862745098,0.0441919191919191
Cycling_Bgc,Epi_Cycle,GSE251950_21_00733_LI_SING,0.0,0.725609756097561,0.128668171557562
Cycling_Bgc,Epi_Cycle,GSE251950_21_00734_LI_SING,0.358247422680412,0.9296875,0.202719406674907
Cycling_Bgc,Epi_Cycle,GSE251950_21_01251_LI_SING,0.896373056994818,0.451456310679611,0.197163120567375
Cycling_Bgc,Epi_Cycle,GSE251950_21_01253_LI_SING,0.407035175879396,0.972972972972973,0.201077199281867
Cycling_Bgc,Epi_Cycle,GSE251950_21_01254_LI_SING,0.445544554455445,0.43362831858407,0.289176090468497
Cycling_Bgc,Epi_Cycle,GSE251950_21_01675_LI_SING,0.072289156626506,0.701754385964912,0.185085354896675
Cycling_Bgc,Epi_Cycle,GSM5494475_HNSCC201125T04,1.0,0.0,0.223270440251572
Cycling_Bgc,Epi_Cycle,GSM5494476_HNSCC201125T05,0.152298850574712,0.453703703703703,0.333887043189368
Cycling_Bgc,Epi_Cycle,GSM5494477_HNSCC201125T07,0.0,0.0,0.359459459459459
Cycling_Bgc,Epi_Cycle,GSM5494478_HNSCC201125T10,1.0,0.333333333333333,0.472440944881889
Cycling_Bgc,Epi_Cycle,GSM5494479_P210325T1,,0.0,0.318822023047375
Cycling_Bgc,Epi_Cycle,GSM5494480_P210325T3,0.0,0.818181818181818,0.200280112044817
Cycling_Bgc,Epi_Cycle,GSM5494481_P210325T5,0.0,0.473684210526315,0.214611872146118
Cycling_Bgc,Epi_Cycle,GSM5494482_P210325T6,0.0,0.0,0.350561797752809
Cycling_Bgc,Epi_Cycle,GSM5924030_ffpe_c_2,0.719402985074626,0.620689655172413,0.182802979011509
Cycling_Bgc,Epi_Cycle,GSM5924031_ffpe_c_3,0.566666666666666,0.664473684210526,0.516129032258064
Cycling_Bgc,Epi_Cycle,GSM5924032_ffpe_c_4,0.395284327323162,0.682119205298013,0.173866090712742
Cycling_Bgc,Epi_Cycle,GSM5924033_ffpe_c_7,0.603614457831325,0.78853046594982,0.58679706601467
Cycling_Bgc,Epi_Cycle,GSM5924034_ffpe_c_10,0.446601941747572,0.84,0.280673616680032
Cycling_Bgc,Epi_Cycle,GSM5924035_ffpe_c_20,0.311475409836065,0.553333333333333,0.201168072680077
Cycling_Bgc,Epi_Cycle,GSM5924036_ffpe_c_21,0.740484429065744,0.903030303030303,0.425352112676056
Cycling_Bgc,Epi_Cycle,GSM5924037_ffpe_c_34,0.326126126126126,1.0,0.197394789579158
Cycling_Bgc,Epi_Cycle,GSM5924038_ffpe_c_36,0.666666666666666,0.876033057851239,0.227550130775937
Cycling_Bgc,Epi_Cycle,GSM5924039_ffpe_c_39,0.474626865671641,0.84514435695538,0.369614512471655
Cycling_Bgc,Epi_Cycle,GSM5924040_ffpe_c_45,0.464491362763915,0.798387096774193,0.474630021141649
Cycling_Bgc,Epi_Cycle,GSM5924041_ffpe_c_51,0.463157894736842,0.270588235294117,0.151009046624913
Cycling_Bgc,Epi_Cycle,GSM5924042_frozen_a_1,0.635135135135135,0.0,0.0981595092024539
Cycling_Bgc,Epi_Cycle,GSM5924043_frozen_a_3,0.477572559366754,0.0,0.20754716981132
Cycling_Bgc,Epi_Cycle,GSM5924044_frozen_a_15,0.481220657276995,0.5859375,0.346420323325635
Cycling_Bgc,Epi_Cycle,GSM5924045_frozen_a_17,0.0,1.0,0.577405857740585
Cycling_Bgc,Epi_Cycle,GSM5924046_frozen_b_1,0.0,0.544303797468354,0.255425709515859
Cycling_Bgc,Epi_Cycle,GSM5924048_frozen_b_13,0.537037037037037,0.516853932584269,0.0343053173241852
Cycling_Bgc,Epi_Cycle,GSM5924049_frozen_b_18,0.475862068965517,0.693430656934306,0.509389671361502
Cycling_Bgc,Epi_Cycle,GSM5924050_frozen_c_2,1.0,0.821428571428571,0.379958246346555
Cycling_Bgc,Epi_Cycle,GSM5924051_frozen_c_5,1.0,1.0,0.495588235294117
Cycling_Bgc,Epi_Cycle,GSM5924052_frozen_c_23,0.553571428571428,0.21505376344086,0.371951219512195
Cycling_Bgc,Epi_Cycle,GSM5924053_frozen_c_57,,1.0,0.708884688090737
Cycling_Bgc,Epi_Cycle,GSM6030901_patient_1,0.0,0.530434782608695,0.230055658627087
Cycling_Bgc,Epi_Cycle,GSM6030902_patient_2,0.0,0.0,0.391575663026521
Cycling_Bgc,Epi_Cycle,GSM6177599_NYU_BRCA0_Vis,0.738738738738738,0.70625,0.129893238434163
Cycling_Bgc,Epi_Cycle,GSM6177603_NYU_BRCA2_Vis,0.751937984496124,0.405405405405405,0.688630490956072
Cycling_Bgc,Epi_Cycle,GSM6177607_NYU_GIST1_Vis,0.666666666666666,0.297872340425531,0.349665924276169
Cycling_Bgc,Epi_Cycle,GSM6177609_NYU_GIST2_Vis,,,0.0728667305848514
Cycling_Bgc,Epi_Cycle,GSM6177612_NYU_LIHC1_Vis,1.0,1.0,0.225577264653641
Cycling_Bgc,Epi_Cycle,GSM6177614_NYU_OVCA1_Vis,0.4,0.785923753665689,0.637305699481865
Cycling_Bgc,Epi_Cycle,GSM6177617_NYU_OVCA3_Vis,0.0,1.0,0.63125
Cycling_Bgc,Epi_Cycle,GSM6177618_NYU_PDAC1_Vis,0.688888888888888,0.312267657992565,0.295343137254901
Cycling_Bgc,Epi_Cycle,GSM6177623_NYU_UCEC3_Vis,0.78125,0.527777777777777,0.762376237623762
Cycling_Bgc,Epi_Cycle,GSM6339631_s1,1.0,0.0,0.240356083086053
Cycling_Bgc,Epi_Cycle,GSM6339632_s2,0.232876712328767,0.566433566433566,0.111398963730569
Cycling_Bgc,Epi_Cycle,GSM6339633_s3,0.35042735042735,1.0,0.166666666666666
