panel,group,comparison,test,n_slides,pvalue
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Mal-Bdy,wilcoxon_signed_rank,253,0.05156506863791343
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Bdy-Normal,wilcoxon_signed_rank,262,4.096790925727073e-05
fig3h_HSPA6+_Macro_partners,SPP1+_Macro,Mal-Normal,wilcoxon_signed_rank,254,0.008279081891914508
fig3h_HSPA6+_Macro_partners,Macro,Mal-Bdy,wilcoxon_signed_rank,253,0.9124507712594627
fig3h_HSPA6+_Macro_partners,Macro,Bdy-Normal,wilcoxon_signed_rank,262,0.0005068126854469735
fig3h_HSPA6+_Macro_partners,Macro,Mal-Normal,wilcoxon_signed_rank,254,0.00034549040994635486
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Mal-Bdy,wilcoxon_signed_rank,253,0.025394459749479726
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Bdy-Normal,wilcoxon_signed_rank,262,0.0005698094977929697
fig3h_HSPA6+_Macro_partners,SPP1+_cycMacro,Mal-Normal,wilcoxon_signed_rank,254,0.3705456094711167
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Mal-Bdy,wilcoxon_signed_rank,253,0.11273501235961561
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Bdy-Normal,wilcoxon_signed_rank,262,5.206228990168805e-11
fig3h_HSPA6+_Macro_partners,Epi_Interferon,Mal-Normal,wilcoxon_signed_rank,254,5.991914815370028e-06
fig3h_HSPA6+_Macro_partners,CD8_Tex,Mal-Bdy,wilcoxon_signed_rank,253,0.13923944646621672
fig3h_HSPA6+_Macro_partners,CD8_Tex,Bdy-Normal,wilcoxon_signed_rank,262,2.2972768691277815e-10
fig3h_HSPA6+_Macro_partners,CD8_Tex,Mal-Normal,wilcoxon_signed_rank,254,6.5009826878408925e-06
fig3h_HSPA6+_Macro_partners,Epi_Squamous,Mal-Bdy,wilcoxon_signed_rank,253,0.1503144247809527
fig3h_HSPA6+_Macro_partners,Epi_Squamous,Bdy-Normal,wilcoxon_signed_rank,262,1.549884036924789e-11
fig3h_HSPA6+_Macro_partners,Epi_Squamous,Mal-Normal,wilcoxon_signed_rank,254,3.2448576709291376e-07
