lineage,median_betweenness
Epithelial,0.00178699031933825
T cell,0.00796153905122275
B cell,0.0080633304572244
Myeloid,0.0092745656607191
Endothelial,0.0042559089652421
Fibroblast,0.0081788242991574
Mural,0.0030746398067195
