"cancer_type","sample_id","Malignancy","n"
"BRCA","GSM7777522_C1","Normal",144
"BRCA","GSM7777522_C1","Malignant",375
"BRCA","GSM7777522_C1","Boundary",120
"BRCA","GSM7777523_D1","Normal",524
"BRCA","GSM7777523_D1","Boundary",80
"BRCA","GSM7777523_D1","Malignant",53
"LICA","GSM7850822_CHC20","Malignant",282
"LICA","GSM7850822_CHC20","Boundary",103
"LICA","GSM7850822_CHC20","Normal",1874
"LICA","HRA000437_HCC-1T","Normal",2492
"LICA","HRA000437_HCC-1T","Malignant",604
"LICA","HRA000437_HCC-1T","Boundary",85
"LICA","HRA000437_HCC-2T","Malignant",1781
"LICA","HRA000437_HCC-2T","Boundary",1325
"LICA","HRA000437_HCC-2T","Normal",1621
"LICA","HRA000437_HCC-3T","Normal",3657
"LICA","HRA000437_HCC-3T","Malignant",267
"LICA","HRA000437_HCC-3T","Boundary",527
"LICA","HRA000437_HCC-4T","Normal",3499
"LICA","HRA000437_HCC-4T","Malignant",347
"LICA","HRA000437_HCC-4T","Boundary",312
"BRCA","Parent_Visium_Human_BreastCancer_201027","Normal",2370
"BRCA","Parent_Visium_Human_BreastCancer_201027","Boundary",843
"BRCA","Parent_Visium_Human_BreastCancer_201027","Malignant",775
"COCA","Parent_Visium_Human_ColorectalCancer_201027","Boundary",120
"COCA","Parent_Visium_Human_ColorectalCancer_201027","Normal",2711
"COCA","Parent_Visium_Human_ColorectalCancer_201027","Malignant",299
"OVCA","Parent_Visium_Human_OvarianCancer_201027","Normal",1497
"OVCA","Parent_Visium_Human_OvarianCancer_201027","Boundary",828
"OVCA","Parent_Visium_Human_OvarianCancer_201027","Malignant",1159
"THCA","S16_43398","Normal",3660
"THCA","S16_43398","Boundary",238
"THCA","S16_43398","Malignant",406
"THCA","S20_47598","Normal",4009
"THCA","S20_47598","Boundary",366
"THCA","S20_47598","Malignant",508
"THCA","S20_61122","Normal",2668
"THCA","S20_61122","Malignant",705
"THCA","S20_61122","Boundary",635
"THCA","S20_63981","Boundary",291
"THCA","S20_63981","Normal",3910
"THCA","S20_63981","Malignant",546
"THCA","S21_10267","Normal",3040
"THCA","S21_10267","Malignant",1538
"THCA","S21_10267","Boundary",240
"COCA","SN048_A121573_Rep1","Normal",1328
"COCA","SN048_A121573_Rep1","Malignant",592
"COCA","SN048_A121573_Rep1","Boundary",280
"COCA","SN048_A121573_Rep2","Normal",1753
"COCA","SN048_A121573_Rep2","Boundary",256
"COCA","SN048_A121573_Rep2","Malignant",371
"COCA","SN048_A416371_Rep1","Normal",1935
"COCA","SN048_A416371_Rep1","Malignant",288
"COCA","SN048_A416371_Rep1","Boundary",74
"COCA","SN048_A416371_Rep2","Normal",1679
"COCA","SN048_A416371_Rep2","Malignant",64
"COCA","SN048_A416371_Rep2","Boundary",55
"COCA","SN123_A551763_Rep1","Boundary",74
"COCA","SN123_A551763_Rep1","Normal",547
"COCA","SN123_A551763_Rep1","Malignant",69
"COCA","SN123_A595688_Rep1","Normal",721
"COCA","SN123_A595688_Rep1","Boundary",202
"COCA","SN123_A595688_Rep1","Malignant",268
"COCA","SN123_A938797_Rep1_X","Normal",1724
"COCA","SN123_A938797_Rep1_X","Malignant",145
"COCA","SN123_A938797_Rep1_X","Boundary",251
"COCA","SN124_A551763_Rep2","Normal",1175
"COCA","SN124_A551763_Rep2","Boundary",22
"COCA","SN124_A551763_Rep2","Malignant",14
"COCA","SN124_A595688_Rep2","Malignant",136
"COCA","SN124_A595688_Rep2","Normal",183
"COCA","SN124_A595688_Rep2","Boundary",68
"COCA","SN124_A938797_Rep2","Boundary",358
"COCA","SN124_A938797_Rep2","Malignant",229
"COCA","SN124_A938797_Rep2","Normal",1102
"COCA","SN84_A120838_Rep1","Normal",213
"COCA","SN84_A120838_Rep1","Malignant",60
"COCA","SN84_A120838_Rep1","Boundary",55
"COCA","SN84_A120838_Rep2","Normal",518
"COCA","SN84_A120838_Rep2","Malignant",294
"COCA","SN84_A120838_Rep2","Boundary",233
"SKCA","V10F24-015_A1","Normal",2541
"SKCA","V10F24-015_A1","Boundary",76
"SKCA","V10F24-015_A1","Malignant",97
"SKCA","V10F24-015_B1","Boundary",224
"SKCA","V10F24-015_B1","Normal",1790
"SKCA","V10F24-015_B1","Malignant",301
"SKCA","V10F24-015_C1","Normal",1848
"SKCA","V10F24-015_C1","Boundary",253
"SKCA","V10F24-015_C1","Malignant",461
"SKCA","V10F24-015_D1","Normal",1727
"SKCA","V10F24-015_D1","Boundary",105
"SKCA","V10F24-015_D1","Malignant",59
"PRCA","V11A20-405_C1","Boundary",198
"PRCA","V11A20-405_C1","Normal",2174
"PRCA","V11A20-405_C1","Malignant",1253
"PRCA","V11A20-405_D1","Normal",2521
"PRCA","V11A20-405_D1","Boundary",457
"PRCA","V11A20-405_D1","Malignant",1201
"PRCA","V11M22-349_C1","Normal",2483
"PRCA","V11M22-349_C1","Malignant",983
"PRCA","V11M22-349_C1","Boundary",488
"PRCA","V11M22-349_D1","Boundary",348
"PRCA","V11M22-349_D1","Normal",3261
"PRCA","V11M22-349_D1","Malignant",222
"BRCA","V1_Breast_Cancer_Block_A_Section_2_200623","Normal",3358
"BRCA","V1_Breast_Cancer_Block_A_Section_2_200623","Malignant",328
"BRCA","V1_Breast_Cancer_Block_A_Section_2_200623","Boundary",299
"BRCA","V1_Human_Invasive_Ductal_Carcinoma_210511","Normal",4055
"BRCA","V1_Human_Invasive_Ductal_Carcinoma_210511","Boundary",300
"BRCA","V1_Human_Invasive_Ductal_Carcinoma_210511","Malignant",362
"BRCA","Visium_FFPE_Human_Breast_Cancer_210609","Normal",1556
"BRCA","Visium_FFPE_Human_Breast_Cancer_210609","Boundary",500
"BRCA","Visium_FFPE_Human_Breast_Cancer_210609","Malignant",460
"COCA","Visium_FFPE_Human_Intestinal_Cancer_220329","Normal",1471
"COCA","Visium_FFPE_Human_Intestinal_Cancer_220329","Boundary",633
"COCA","Visium_FFPE_Human_Intestinal_Cancer_220329","Malignant",556
"OVCA","Visium_FFPE_Human_Ovarian_Cancer_220329","Malignant",1075
"OVCA","Visium_FFPE_Human_Ovarian_Cancer_220329","Normal",1663
"OVCA","Visium_FFPE_Human_Ovarian_Cancer_220329","Boundary",717
"PRCA","Visium_FFPE_Human_Prostate_Acinar_Cell_Carcinoma_211009","Normal",2433
"PRCA","Visium_FFPE_Human_Prostate_Acinar_Cell_Carcinoma_211009","Boundary",239
"PRCA","Visium_FFPE_Human_Prostate_Acinar_Cell_Carcinoma_211009","Malignant",371
"PRCA","Visium_FFPE_Human_Prostate_Cancer_210609","Normal",2863
"PRCA","Visium_FFPE_Human_Prostate_Cancer_210609","Malignant",1171
"PRCA","Visium_FFPE_Human_Prostate_Cancer_210609","Boundary",335
"PRCA","Visium_FFPE_Human_Prostate_IF_220713","Normal",3033
"PRCA","Visium_FFPE_Human_Prostate_IF_220713","Malignant",210
"PRCA","Visium_FFPE_Human_Prostate_IF_220713","Boundary",217
"BRCA","Visium_Human_Breast_Cancer_220702","Normal",3104
"BRCA","Visium_Human_Breast_Cancer_220702","Boundary",781
"BRCA","Visium_Human_Breast_Cancer_220702","Malignant",984
"SKCA","WSSKNKCLsp12140270","Normal",685
"SKCA","WSSKNKCLsp12140270","Malignant",70
"SKCA","WSSKNKCLsp12140270","Boundary",56
"SKCA","WSSKNKCLsp12140271","Normal",752
"SKCA","WSSKNKCLsp12140271","Malignant",133
"SKCA","WSSKNKCLsp12140271","Boundary",156
"SKCA","WSSKNKCLsp12140272","Normal",1669
"SKCA","WSSKNKCLsp12140272","Malignant",105
"SKCA","WSSKNKCLsp12140272","Boundary",86
"SKCA","WSSKNKCLsp12140273","Normal",1098
"SKCA","WSSKNKCLsp12140273","Boundary",46
"SKCA","WSSKNKCLsp12140273","Malignant",35
"SKCA","WSSKNKCLsp12887267","Normal",1091
"SKCA","WSSKNKCLsp12887267","Boundary",114
"SKCA","WSSKNKCLsp12887267","Malignant",128
"SKCA","WSSKNKCLsp12887268","Normal",1019
"SKCA","WSSKNKCLsp12887268","Boundary",66
"SKCA","WSSKNKCLsp12887268","Malignant",57
"SKCA","WSSKNKCLsp12887269","Normal",674
"SKCA","WSSKNKCLsp12887269","Malignant",137
"SKCA","WSSKNKCLsp12887269","Boundary",117
"SKCA","WSSKNKCLsp12887270","Normal",853
"SKCA","WSSKNKCLsp12887270","Boundary",38
"SKCA","WSSKNKCLsp12887270","Malignant",18
"LICA","Zenodo10119273_Tumor2","Malignant",441
"LICA","Zenodo10119273_Tumor2","Normal",1006
"LICA","Zenodo10119273_Tumor2","Boundary",176
"COCA","scCRLM_Atlas_ST-colon1","Boundary",361
"COCA","scCRLM_Atlas_ST-colon1","Malignant",428
"COCA","scCRLM_Atlas_ST-colon1","Normal",2513
"COCA","scCRLM_Atlas_ST-colon2","Normal",3857
"COCA","scCRLM_Atlas_ST-colon2","Boundary",113
"COCA","scCRLM_Atlas_ST-colon2","Malignant",195
"COCA","scCRLM_Atlas_ST-colon3","Normal",3524
"COCA","scCRLM_Atlas_ST-colon3","Malignant",279
"COCA","scCRLM_Atlas_ST-colon3","Boundary",197
"COCA","scCRLM_Atlas_ST-colon4","Normal",2785
"COCA","scCRLM_Atlas_ST-colon4","Malignant",712
"COCA","scCRLM_Atlas_ST-colon4","Boundary",396
